"","dist_year","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other"
"117","10215_2012-13","0","0","0",2,"0","0",0
"118","10215_2013-14","0","0","0",2,"0","0",0
"119","10215_2014-15","0","0","0",2,"0","0",0
"120","10215_2015-16","0","0","0",2,"0","0",0
"121","10215_2016-17","0","0","0",2,"0","0",0
"122","10223_2011-12","*","*","1",2,"1","0",NA
"123","10223_2012-13","*","*","0",2,"1","0",NA
"124","10223_2013-14","*","*","0",2,"0","1",NA
"125","10223_2014-15",NA,"*","0",2,"0","0",NA
"126","10223_2015-16",NA,"*","0",1,"0","0",NA
"127","10223_2016-17",NA,NA,"0",1,"0","0",NA
"128","10231_2011-12","*","*","0",2,"0","0",NA
"129","10231_2012-13","*","*","0",2,"0","0",NA
"130","10231_2013-14",NA,"0","0",2,"0","0",NA
"131","10231_2014-15",NA,"*","0",2,"0","0",NA
"132","10231_2015-16",NA,"*","0",2,"0","0",NA
"133","10231_2016-17",NA,"*","0",2,"0","0",NA
"134","10249_2011-12","0","0","0",2,"0","0",0
"135","10249_2012-13","0","0","0",2,"0","0",0
"136","10249_2013-14","0","0","0",2,"0","0",0
"137","10249_2014-15","0","0","0",2,"0","0",0
"138","10249_2015-16","0","0","0",2,"0","0",0
"139","10249_2016-17","0","0","0",2,"0","0",0
"140","10256_2011-12","*","0","0",2,"0","0",NA
"141","10256_2012-13",NA,"0","0",2,"0","0",NA
"142","10256_2013-14",NA,"0","0",2,"0","0",NA
"143","10256_2014-15","*","0","0",2,"0","0",NA
"144","10256_2015-16","*","0","0",2,"0","0",NA
"145","10256_2016-17",NA,"*","0",2,"0","0",NA
"146","10264_2011-12","0","0","0",2,"0","0",NA
"147","10264_2012-13","0","0","0",2,"0","0",0
"148","10264_2013-14","0","0","0",2,"0","0",0
"149","10264_2014-15","0","0","0",2,"0","0",0
"150","10264_2015-16","0","0","0",2,"0","0",0
"151","10264_2016-17","0","0","0",2,"0","0",0
"152","10272_2011-12","0","0","0",2,"0","0",0
"153","10272_2012-13","0","0","0",2,"0","0",0
"154","10272_2013-14","0","0","0",2,"0","0",0
"155","10272_2014-15","0","0","0",2,"0","0",0
"156","10272_2015-16","0","0","0",2,"0","0",0
"157","10272_2016-17","0","0","0",2,"0","0",0
"158","10280_2011-12","*","0","0",2,"0","0",0
"159","10280_2012-13","*","0","0",2,"0","0",0
"160","10280_2013-14","*","0","0",2,"0","0",0
"161","10280_2014-15","*","0","1",2,"1","0",NA
"162","10280_2015-16","*","0","0",2,"0","0",NA
"163","10280_2016-17","*","0","0",2,"0","0",NA
"164","10298_2011-12","0","0","0",2,"0","0",0
"165","10298_2012-13","0","0","0",2,"0","0",0
"166","10298_2013-14","0","0","0",2,"0","0",0
"167","10298_2014-15","0","0","4",2,"3","2",1
"168","10298_2015-16","0","0","0",2,"0","0",0
"169","10298_2016-17","0","0","0",2,"1","0",1
"170","10306_2011-12","0","0","0",2,"0","0",0
"171","10306_2012-13","0","0","0",2,"0","0",0
"172","10306_2013-14","0","0","0",3,"0","1",0
"173","10306_2014-15","0","0","0",2,"0","0",0
"174","10306_2015-16","0","0","0",2,"0","0",0
"175","10306_2016-17","0","0","0",2,"0","0",0
"176","10314_2011-12","0","0","0",2,"0","0",0
"177","10314_2012-13","0","0","0",2,"0","0",0
"178","10314_2013-14","0","0","0",2,"0","0",0
