"","dist_year","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other"
"11345","32276_2011-12","*","0","0",2,"0","0",0
"11346","32276_2011-12","*","0","0",2,"0","0",0
"11347","32276_2011-12","*","0","0",2,"0","0",0
"11348","32276_2011-12","*","0","0",2,"0","0",0
"11349","32276_2011-12","*","0","*",2,"0","0",0
"11350","32276_2011-12","*","0","*",2,"0","0",0
"11351","32276_2011-12","*","0","*",2,"0","0",0
"11352","32276_2011-12","*","0","*",2,"0","0",0
"11353","32276_2011-12","*","0","0",2,"0","0",0
"11354","32276_2011-12","*","0","0",2,"0","0",0
"11355","32276_2011-12","*","0","0",2,"0","0",0
"11356","32276_2011-12","*","0","0",2,"0","0",0
"11357","32276_2011-12","*","0","*",2,"0","0",0
"11358","32276_2011-12","*","0","*",2,"0","0",0
"11359","32276_2011-12","*","0","*",2,"0","0",0
"11360","32276_2011-12","*","0","*",2,"0","0",0
"11361","32276_2011-12","*","0","0",2,"0","0",0
"11362","32276_2011-12","*","0","0",2,"0","0",0
"11363","32276_2011-12","*","0","0",2,"0","0",0
"11364","32276_2011-12","*","0","0",2,"0","0",0
"11365","32276_2011-12","*","0","*",2,"0","0",0
"11366","32276_2011-12","*","0","*",2,"0","0",0
"11367","32276_2011-12","*","0","*",2,"0","0",0
"11368","32276_2011-12","*","0","*",2,"0","0",0
"11369","32276_2011-12","*","0","*",2,"0","0",0
"11370","32276_2011-12","*","0","*",2,"0","0",0
"11371","32276_2011-12","*","0","*",2,"0","0",0
"11372","32276_2011-12","*","0","*",2,"0","0",0
"11373","32276_2011-12","*","0","*",2,"0","0",0
"11374","32276_2011-12","*","0","*",2,"0","0",0
"11375","32276_2011-12","*","0","*",2,"0","0",0
"11376","32276_2011-12","*","0","*",2,"0","0",0
"11377","32276_2011-12","0","0","*",2,"0","0",0
"11378","32276_2011-12","0","0","*",2,"0","0",0
"11379","32276_2011-12","0","0","*",2,"0","0",0
"11380","32276_2011-12","0","0","*",2,"0","0",0
"11381","32276_2011-12","*","0","*",2,"0","0",0
"11382","32276_2011-12","*","0","*",2,"0","0",0
"11383","32276_2011-12","*","0","*",2,"0","0",0
"11384","32276_2011-12","*","0","*",2,"0","0",0
"11385","32276_2011-12","*","0","0",2,"0","0",0
"11386","32276_2011-12","*","0","0",2,"0","0",0
"11387","32276_2011-12","*","0","0",2,"0","0",0
"11388","32276_2011-12","*","0","0",2,"0","0",0
"11389","32276_2011-12","0","0","0",2,"0","0",0
"11390","32276_2011-12","0","0","0",2,"0","0",0
"11391","32276_2011-12","0","0","0",2,"0","0",0
"11392","32276_2011-12","0","0","0",2,"0","0",0
"11393","32276_2011-12","0","0","0",2,"0","0",0
"11394","32276_2011-12","0","0","0",2,"0","0",0
"11395","32276_2011-12","0","0","0",2,"0","0",0
"11396","32276_2011-12","0","0","0",2,"0","0",0
"11397","32276_2011-12","*","0","*",2,"0","0",0
"11398","32276_2011-12","*","0","*",2,"0","0",0
"11399","32276_2011-12","*","0","*",2,"0","0",0
"11400","32276_2011-12","*","0","*",2,"0","0",0
"11401","32276_2011-12","*","0","*",2,"0","0",0
"11402","32276_2011-12","*","0","*",2,"0","0",0
"11403","32276_2011-12","*","0","*",2,"0","0",0
"11404","32276_2011-12","*","0","*",2,"0","0",0
"11405","32276_2011-12","*","0","*",2,"0","0",0
"11406","32276_2011-12","*","0","*",2,"0","0",0
"11407","32276_2011-12","*","0","*",2,"0","0",0
"11408","32276_2011-12","*","0","*",2,"0","0",0
"11409","32276_2011-12","0","0","*",2,"0","0",0
"11410","32276_2011-12","0","0","*",2,"0","0",0
"11411","32276_2011-12","0","0","*",2,"0","0",0
"11412","32276_2011-12","0","0","*",2,"0","0",0
"11413","32276_2011-12","*","0","0",2,"0","0",0
"11414","32276_2011-12","*","0","0",2,"0","0",0
"11415","32276_2011-12","*","0","0",2,"0","0",0
"11416","32276_2011-12","*","0","0",2,"0","0",0
"11417","32276_2011-12","*","0","0",2,"0","0",0
"11418","32276_2011-12","*","0","0",2,"0","0",0
"11419","32276_2011-12","*","0","0",2,"0","0",0
"11420","32276_2011-12","*","0","0",2,"0","0",0
"11421","32276_2011-12","*","0","*",2,"0","0",0
"11422","32276_2011-12","*","0","*",2,"0","0",0
"11423","32276_2011-12","*","0","*",2,"0","0",0
"11424","32276_2011-12","*","0","*",2,"0","0",0
"11425","32276_2011-12","*","0","*",2,"0","0",0
"11426","32276_2011-12","*","0","*",2,"0","0",0
"11427","32276_2011-12","*","0","*",2,"0","0",0
"11428","32276_2011-12","*","0","*",2,"0","0",0
"11429","32276_2011-12","*","0","0",2,"0","0",0
"11430","32276_2011-12","*","0","0",2,"0","0",0
"11431","32276_2011-12","*","0","0",2,"0","0",0
"11432","32276_2011-12","*","0","0",2,"0","0",0
"11433","32276_2011-12","*","0","0",2,"0","0",0
"11434","32276_2011-12","*","0","0",2,"0","0",0
"11435","32276_2011-12","*","0","0",2,"0","0",0
"11436","32276_2011-12","*","0","0",2,"0","0",0
"11437","32276_2011-12","*","0","*",2,"0","0",0
"11438","32276_2011-12","*","0","*",2,"0","0",0
"11439","32276_2011-12","*","0","*",2,"0","0",0
"11440","32276_2011-12","*","0","*",2,"0","0",0
"11441","32276_2011-12","*","0","*",2,"0","0",0
"11442","32276_2011-12","*","0","*",2,"0","0",0
"11443","32276_2011-12","*","0","*",2,"0","0",0
"11444","32276_2011-12","*","0","*",2,"0","0",0
"11445","32276_2011-12","*","0","*",2,"0","0",0
"11446","32276_2011-12","*","0","*",2,"0","0",0
"11447","32276_2011-12","*","0","*",2,"0","0",0
"11448","32276_2011-12","*","0","*",2,"0","0",0
"11449","32276_2011-12","*","0","0",2,"0","0",0
"11450","32276_2011-12","*","0","0",2,"0","0",0
"11451","32276_2011-12","*","0","0",2,"0","0",0
"11452","32276_2011-12","*","0","0",2,"0","0",0
"11453","32276_2011-12","0","0","*",2,"0","0",0
"11454","32276_2011-12","0","0","*",2,"0","0",0
"11455","32276_2011-12","0","0","*",2,"0","0",0
"11456","32276_2011-12","0","0","*",2,"0","0",0
"11457","32276_2011-12","0","0","*",2,"0","0",0
"11458","32276_2011-12","0","0","*",2,"0","0",0
"11459","32276_2011-12","0","0","*",2,"0","0",0
"11460","32276_2011-12","0","0","*",2,"0","0",0
"11461","32276_2011-12","*","0","*",2,"0","0",0
"11462","32276_2011-12","*","0","*",2,"0","0",0
"11463","32276_2011-12","*","0","*",2,"0","0",0
"11464","32276_2011-12","*","0","*",2,"0","0",0
"11465","32276_2011-12","*","0","0",2,"0","0",0
"11466","32276_2011-12","*","0","0",2,"0","0",0
"11467","32276_2011-12","*","0","0",2,"0","0",0
"11468","32276_2011-12","*","0","0",2,"0","0",0
"11469","32276_2011-12","*","0","*",2,"0","0",0
"11470","32276_2011-12","*","0","*",2,"0","0",0
"11471","32276_2011-12","*","0","*",2,"0","0",0
"11472","32276_2011-12","*","0","*",2,"0","0",0
"11473","32276_2011-12","*","0","*",2,"0","0",0
"11474","32276_2011-12","*","0","*",2,"0","0",0
"11475","32276_2011-12","*","0","*",2,"0","0",0
"11476","32276_2011-12","*","0","*",2,"0","0",0
"11477","32276_2011-12","*","0","0",2,"0","0",0
"11478","32276_2011-12","*","0","0",2,"0","0",0
"11479","32276_2011-12","*","0","0",2,"0","0",0
"11480","32276_2011-12","*","0","0",2,"0","0",0
"11481","32276_2011-12","*","0","*",2,"0","0",0
"11482","32276_2011-12","*","0","*",2,"0","0",0
"11483","32276_2011-12","*","0","*",2,"0","0",0
"11484","32276_2011-12","*","0","*",2,"0","0",0
"11485","32276_2011-12","0","0","0",2,"0","0",0
"11486","32276_2011-12","0","0","0",2,"0","0",0
"11487","32276_2011-12","0","0","0",2,"0","0",0
"11488","32276_2011-12","0","0","0",2,"0","0",0
"11489","32276_2011-12","*","0","0",2,"0","0",0
"11490","32276_2011-12","*","0","0",2,"0","0",0
"11491","32276_2011-12","*","0","0",2,"0","0",0
"11492","32276_2011-12","*","0","0",2,"0","0",0
"11493","32276_2011-12","0","0","*",2,"0","0",0
"11494","32276_2011-12","0","0","*",2,"0","0",0
"11495","32276_2011-12","0","0","*",2,"0","0",0
"11496","32276_2011-12","0","0","*",2,"0","0",0
"11497","32276_2011-12","0","0","*",2,"0","0",0
"11498","32276_2011-12","0","0","*",2,"0","0",0
"11499","32276_2011-12","0","0","*",2,"0","0",0
"11500","32276_2011-12","0","0","*",2,"0","0",0
"11501","32276_2011-12","*","0","0",2,"0","0",0
"11502","32276_2011-12","*","0","0",2,"0","0",0
"11503","32276_2011-12","*","0","0",2,"0","0",0
"11504","32276_2011-12","*","0","0",2,"0","0",0
"11505","32276_2011-12","0","0","0",2,"0","0",0
"11506","32276_2011-12","0","0","0",2,"0","0",0
"11507","32276_2011-12","0","0","0",2,"0","0",0
"11508","32276_2011-12","0","0","0",2,"0","0",0
"11509","32276_2011-12","*","0","0",2,"0","0",0
"11510","32276_2011-12","*","0","0",2,"0","0",0
"11511","32276_2011-12","*","0","0",2,"0","0",0
"11512","32276_2011-12","*","0","0",2,"0","0",0
"11513","32276_2011-12","0","0","*",2,"0","0",0
"11514","32276_2011-12","0","0","*",2,"0","0",0
"11515","32276_2011-12","0","0","*",2,"0","0",0
"11516","32276_2011-12","0","0","*",2,"0","0",0
"11517","32276_2011-12","*","0","0",2,"0","0",0
"11518","32276_2011-12","*","0","0",2,"0","0",0
"11519","32276_2011-12","*","0","0",2,"0","0",0
"11520","32276_2011-12","*","0","0",2,"0","0",0
"11521","32276_2011-12","*","0","*",2,"0","0",0
"11522","32276_2011-12","*","0","*",2,"0","0",0
"11523","32276_2011-12","*","0","*",2,"0","0",0
"11524","32276_2011-12","*","0","*",2,"0","0",0
"11525","32276_2011-12","*","0","*",2,"0","0",0
"11526","32276_2011-12","*","0","*",2,"0","0",0
"11527","32276_2011-12","*","0","*",2,"0","0",0
"11528","32276_2011-12","*","0","*",2,"0","0",0
"11529","32276_2011-12","*","0","0",2,"0","0",0
"11530","32276_2011-12","*","0","0",2,"0","0",0
"11531","32276_2011-12","*","0","0",2,"0","0",0
"11532","32276_2011-12","*","0","0",2,"0","0",0
"11533","32276_2011-12","*","0","*",2,"0","0",0
"11534","32276_2011-12","*","0","*",2,"0","0",0
"11535","32276_2011-12","*","0","*",2,"0","0",0
"11536","32276_2011-12","*","0","*",2,"0","0",0
"11537","32276_2011-12","*","0","*",2,"0","0",0
"11538","32276_2011-12","*","0","*",2,"0","0",0
"11539","32276_2011-12","*","0","*",2,"0","0",0
"11540","32276_2011-12","*","0","*",2,"0","0",0
"11541","32276_2011-12","0","0","*",2,"0","0",0
"11542","32276_2011-12","0","0","*",2,"0","0",0
"11543","32276_2011-12","0","0","*",2,"0","0",0
"11544","32276_2011-12","0","0","*",2,"0","0",0
"11545","32276_2011-12","*","0","0",2,"0","0",0
"11546","32276_2011-12","*","0","0",2,"0","0",0
"11547","32276_2011-12","*","0","0",2,"0","0",0
"11548","32276_2011-12","*","0","0",2,"0","0",0
"11549","32276_2011-12","*","0","*",2,"0","0",0
"11550","32276_2011-12","*","0","*",2,"0","0",0
"11551","32276_2011-12","*","0","*",2,"0","0",0
"11552","32276_2011-12","*","0","*",2,"0","0",0
"11553","32276_2011-12","*","0","*",2,"0","0",0
"11554","32276_2011-12","*","0","*",2,"0","0",0
"11555","32276_2011-12","*","0","*",2,"0","0",0
"11556","32276_2011-12","*","0","*",2,"0","0",0
"11557","32276_2011-12","0","0","0",2,"0","0",0
"11558","32276_2011-12","0","0","0",2,"0","0",0
"11559","32276_2011-12","0","0","0",2,"0","0",0
"11560","32276_2011-12","0","0","0",2,"0","0",0
"11561","32276_2011-12","0","0","*",2,"0","0",0
"11562","32276_2011-12","0","0","*",2,"0","0",0
"11563","32276_2011-12","0","0","*",2,"0","0",0
"11564","32276_2011-12","0","0","*",2,"0","0",0
"11565","32276_2011-12","*","0","0",2,"0","0",0
"11566","32276_2011-12","*","0","0",2,"0","0",0
"11567","32276_2011-12","*","0","0",2,"0","0",0
"11568","32276_2011-12","*","0","0",2,"0","0",0
"11569","32276_2011-12","*","0","*",2,"0","0",0
"11570","32276_2011-12","*","0","*",2,"0","0",0
"11571","32276_2011-12","*","0","*",2,"0","0",0
"11572","32276_2011-12","*","0","*",2,"0","0",0
"11573","32276_2011-12","*","0","0",2,"0","0",0
"11574","32276_2011-12","*","0","0",2,"0","0",0
"11575","32276_2011-12","*","0","0",2,"0","0",0
"11576","32276_2011-12","*","0","0",2,"0","0",0
"11577","32276_2011-12","*","0","*",2,"0","0",0
"11578","32276_2011-12","*","0","*",2,"0","0",0
"11579","32276_2011-12","*","0","*",2,"0","0",0
"11580","32276_2011-12","*","0","*",2,"0","0",0
"11581","32276_2011-12","0","0","0",2,"0","0",0
"11582","32276_2011-12","0","0","0",2,"0","0",0
"11583","32276_2011-12","0","0","0",2,"0","0",0
"11584","32276_2011-12","0","0","0",2,"0","0",0
"11585","32276_2011-12","0","0","*",2,"0","0",0
"11586","32276_2011-12","0","0","*",2,"0","0",0
"11587","32276_2011-12","0","0","*",2,"0","0",0
"11588","32276_2011-12","0","0","*",2,"0","0",0
"11589","32276_2011-12","*","0","0",2,"0","0",0
"11590","32276_2011-12","*","0","0",2,"0","0",0
"11591","32276_2011-12","*","0","0",2,"0","0",0
"11592","32276_2011-12","*","0","0",2,"0","0",0
"11593","32276_2011-12","*","0","0",2,"0","0",0
"11594","32276_2011-12","*","0","0",2,"0","0",0
"11595","32276_2011-12","*","0","0",2,"0","0",0
"11596","32276_2011-12","*","0","0",2,"0","0",0
"11597","32276_2011-12","0","0","*",2,"0","0",0
"11598","32276_2011-12","0","0","*",2,"0","0",0
"11599","32276_2011-12","0","0","*",2,"0","0",0
"11600","32276_2011-12","0","0","*",2,"0","0",0
"11601","32276_2011-12","*","0","0",2,"0","0",0
"11602","32276_2011-12","*","0","0",2,"0","0",0
"11603","32276_2011-12","*","0","0",2,"0","0",0
"11604","32276_2011-12","*","0","0",2,"0","0",0
"11605","32276_2011-12","*","0","0",2,"0","0",0
"11606","32276_2011-12","*","0","0",2,"0","0",0
"11607","32276_2011-12","*","0","0",2,"0","0",0
"11608","32276_2011-12","*","0","0",2,"0","0",0
"11609","32276_2011-12","*","0","*",2,"0","0",0
"11610","32276_2011-12","*","0","*",2,"0","0",0
"11611","32276_2011-12","*","0","*",2,"0","0",0
"11612","32276_2011-12","*","0","*",2,"0","0",0
"11613","32276_2011-12","*","0","0",2,"0","0",0
"11614","32276_2011-12","*","0","0",2,"0","0",0
"11615","32276_2011-12","*","0","0",2,"0","0",0
"11616","32276_2011-12","*","0","0",2,"0","0",0
"11617","32276_2011-12","*","0","0",2,"0","0",0
"11618","32276_2011-12","*","0","0",2,"0","0",0
"11619","32276_2011-12","*","0","0",2,"0","0",0
"11620","32276_2011-12","*","0","0",2,"0","0",0
"11621","32276_2011-12","*","0","0",2,"0","0",0
"11622","32276_2011-12","*","0","0",2,"0","0",0
"11623","32276_2011-12","*","0","0",2,"0","0",0
"11624","32276_2011-12","*","0","0",2,"0","0",0
"11625","32276_2011-12","0","0","*",2,"0","0",0
"11626","32276_2011-12","0","0","*",2,"0","0",0
"11627","32276_2011-12","0","0","*",2,"0","0",0
"11628","32276_2011-12","0","0","*",2,"0","0",0
"11629","32276_2011-12","0","0","0",2,"0","0",0
"11630","32276_2011-12","0","0","0",2,"0","0",0
"11631","32276_2011-12","0","0","0",2,"0","0",0
"11632","32276_2011-12","0","0","0",2,"0","0",0
"11633","32276_2011-12","0","0","0",2,"0","0",0
"11634","32276_2011-12","0","0","0",2,"0","0",0
"11635","32276_2011-12","0","0","0",2,"0","0",0
"11636","32276_2011-12","0","0","0",2,"0","0",0
"11637","32276_2011-12","0","0","0",2,"0","0",0
"11638","32276_2011-12","0","0","0",2,"0","0",0
"11639","32276_2011-12","0","0","0",2,"0","0",0
"11640","32276_2011-12","0","0","0",2,"0","0",0
"11641","32276_2011-12","*","0","0",2,"0","0",0
"11642","32276_2011-12","*","0","0",2,"0","0",0
"11643","32276_2011-12","*","0","0",2,"0","0",0
"11644","32276_2011-12","*","0","0",2,"0","0",0
"11645","32276_2011-12","0","0","*",2,"0","0",0
"11646","32276_2011-12","0","0","*",2,"0","0",0
"11647","32276_2011-12","0","0","*",2,"0","0",0
"11648","32276_2011-12","0","0","*",2,"0","0",0
"11649","32276_2011-12","0","0","0",2,"0","0",0
"11650","32276_2011-12","0","0","0",2,"0","0",0
"11651","32276_2011-12","0","0","0",2,"0","0",0
"11652","32276_2011-12","0","0","0",2,"0","0",0
"11653","32276_2011-12","*","0","*",2,"0","0",0
"11654","32276_2011-12","*","0","*",2,"0","0",0
"11655","32276_2011-12","*","0","*",2,"0","0",0
"11656","32276_2011-12","*","0","*",2,"0","0",0
"11657","32276_2011-12","*","0","0",2,"0","0",0
"11658","32276_2011-12","*","0","0",2,"0","0",0
"11659","32276_2011-12","*","0","0",2,"0","0",0
"11660","32276_2011-12","*","0","0",2,"0","0",0
"11661","32276_2011-12","*","0","0",2,"0","0",0
"11662","32276_2011-12","*","0","0",2,"0","0",0
"11663","32276_2011-12","*","0","0",2,"0","0",0
"11664","32276_2011-12","*","0","0",2,"0","0",0
"11665","32276_2011-12","*","0","0",2,"0","0",0
"11666","32276_2011-12","*","0","0",2,"0","0",0
"11667","32276_2011-12","*","0","0",2,"0","0",0
"11668","32276_2011-12","*","0","0",2,"0","0",0
"11669","32276_2011-12","*","0","*",2,"0","0",0
"11670","32276_2011-12","*","0","*",2,"0","0",0
"11671","32276_2011-12","*","0","*",2,"0","0",0
"11672","32276_2011-12","*","0","*",2,"0","0",0
"11673","32276_2011-12","*","0","0",2,"0","0",0
"11674","32276_2011-12","*","0","0",2,"0","0",0
"11675","32276_2011-12","*","0","0",2,"0","0",0
"11676","32276_2011-12","*","0","0",2,"0","0",0
"11677","32276_2011-12","*","0","*",2,"0","0",0
"11678","32276_2011-12","*","0","*",2,"0","0",0
"11679","32276_2011-12","*","0","*",2,"0","0",0
"11680","32276_2011-12","*","0","*",2,"0","0",0
"11681","32276_2011-12","0","0","0",2,"0","0",0
"11682","32276_2011-12","0","0","0",2,"0","0",0
"11683","32276_2011-12","0","0","0",2,"0","0",0
"11684","32276_2011-12","0","0","0",2,"0","0",0
"11685","32276_2011-12","*","0","0",2,"0","0",0
"11686","32276_2011-12","*","0","0",2,"0","0",0
"11687","32276_2011-12","*","0","0",2,"0","0",0
"11688","32276_2011-12","*","0","0",2,"0","0",0
"11689","32276_2011-12","*","0","*",2,"0","0",0
"11690","32276_2011-12","*","0","*",2,"0","0",0
"11691","32276_2011-12","*","0","*",2,"0","0",0
"11692","32276_2011-12","*","0","*",2,"0","0",0
"11693","32276_2011-12","*","0","0",2,"0","0",0
"11694","32276_2011-12","*","0","0",2,"0","0",0
"11695","32276_2011-12","*","0","0",2,"0","0",0
"11696","32276_2011-12","*","0","0",2,"0","0",0
"11697","32276_2011-12","*","0","*",2,"0","0",0
"11698","32276_2011-12","*","0","*",2,"0","0",0
"11699","32276_2011-12","*","0","*",2,"0","0",0
"11700","32276_2011-12","*","0","*",2,"0","0",0
"11701","32276_2011-12","*","0","0",2,"0","0",0
"11702","32276_2011-12","*","0","0",2,"0","0",0
"11703","32276_2011-12","*","0","0",2,"0","0",0
"11704","32276_2011-12","*","0","0",2,"0","0",0
"11705","32276_2011-12","*","0","*",2,"0","0",0
"11706","32276_2011-12","*","0","*",2,"0","0",0
"11707","32276_2011-12","*","0","*",2,"0","0",0
"11708","32276_2011-12","*","0","*",2,"0","0",0
"11709","32276_2011-12","*","0","*",2,"0","0",0
"11710","32276_2011-12","*","0","*",2,"0","0",0
"11711","32276_2011-12","*","0","*",2,"0","0",0
"11712","32276_2011-12","*","0","*",2,"0","0",0
"11713","32276_2011-12","0","0","0",2,"0","0",0
"11714","32276_2011-12","0","0","0",2,"0","0",0
"11715","32276_2011-12","0","0","0",2,"0","0",0
"11716","32276_2011-12","0","0","0",2,"0","0",0
"11717","32276_2011-12","*","0","0",2,"0","0",0
"11718","32276_2011-12","*","0","0",2,"0","0",0
"11719","32276_2011-12","*","0","0",2,"0","0",0
"11720","32276_2011-12","*","0","0",2,"0","0",0
"11721","32276_2011-12","*","0","*",2,"0","0",0
"11722","32276_2011-12","*","0","*",2,"0","0",0
"11723","32276_2011-12","*","0","*",2,"0","0",0
"11724","32276_2011-12","*","0","*",2,"0","0",0
"11725","32276_2011-12","0","0","0",2,"0","0",0
"11726","32276_2011-12","0","0","0",2,"0","0",0
"11727","32276_2011-12","0","0","0",2,"0","0",0
"11728","32276_2011-12","0","0","0",2,"0","0",0
"11729","32276_2011-12","*","0","*",2,"0","0",0
"11730","32276_2011-12","*","0","*",2,"0","0",0
"11731","32276_2011-12","*","0","*",2,"0","0",0
"11732","32276_2011-12","*","0","*",2,"0","0",0
"11733","32276_2011-12","0","0","*",2,"0","0",0
"11734","32276_2011-12","0","0","*",2,"0","0",0
"11735","32276_2011-12","0","0","*",2,"0","0",0
"11736","32276_2011-12","0","0","*",2,"0","0",0
"11737","32276_2011-12","0","0","*",2,"0","0",0
"11738","32276_2011-12","0","0","*",2,"0","0",0
"11739","32276_2011-12","0","0","*",2,"0","0",0
"11740","32276_2011-12","0","0","*",2,"0","0",0
"11741","32276_2011-12","0","0","*",2,"0","0",0
"11742","32276_2011-12","0","0","*",2,"0","0",0
"11743","32276_2011-12","0","0","*",2,"0","0",0
"11744","32276_2011-12","0","0","*",2,"0","0",0
"11745","32276_2011-12","*","0","*",2,"0","0",0
"11746","32276_2011-12","*","0","*",2,"0","0",0
"11747","32276_2011-12","*","0","*",2,"0","0",0
"11748","32276_2011-12","*","0","*",2,"0","0",0
"11749","32276_2011-12","*","0","0",2,"0","0",0
"11750","32276_2011-12","*","0","0",2,"0","0",0
"11751","32276_2011-12","*","0","0",2,"0","0",0
"11752","32276_2011-12","*","0","0",2,"0","0",0
"11753","32276_2011-12","*","0","*",2,"0","0",0
"11754","32276_2011-12","*","0","*",2,"0","0",0
"11755","32276_2011-12","*","0","*",2,"0","0",0
"11756","32276_2011-12","*","0","*",2,"0","0",0
"11757","32276_2011-12","0","0","0",2,"0","0",0
"11758","32276_2011-12","0","0","0",2,"0","0",0
"11759","32276_2011-12","0","0","0",2,"0","0",0
"11760","32276_2011-12","0","0","0",2,"0","0",0
"11761","32276_2011-12","*","0","*",2,"0","0",0
"11762","32276_2011-12","*","0","*",2,"0","0",0
"11763","32276_2011-12","*","0","*",2,"0","0",0
"11764","32276_2011-12","*","0","*",2,"0","0",0
"11765","32276_2011-12","*","0","*",2,"0","0",0
"11766","32276_2011-12","*","0","*",2,"0","0",0
"11767","32276_2011-12","*","0","*",2,"0","0",0
"11768","32276_2011-12","*","0","*",2,"0","0",0
"11769","32276_2011-12","*","0","*",2,"0","0",0
"11770","32276_2011-12","*","0","*",2,"0","0",0
"11771","32276_2011-12","*","0","*",2,"0","0",0
"11772","32276_2011-12","*","0","*",2,"0","0",0
"11773","32276_2011-12","*","0","0",2,"0","0",0
"11774","32276_2011-12","*","0","0",2,"0","0",0
"11775","32276_2011-12","*","0","0",2,"0","0",0
"11776","32276_2011-12","*","0","0",2,"0","0",0
"11777","32276_2011-12","*","0","*",2,"0","0",0
"11778","32276_2011-12","*","0","*",2,"0","0",0
"11779","32276_2011-12","*","0","*",2,"0","0",0
"11780","32276_2011-12","*","0","*",2,"0","0",0
"11781","32276_2011-12","*","0","0",2,"0","0",0
"11782","32276_2011-12","*","0","0",2,"0","0",0
"11783","32276_2011-12","*","0","0",2,"0","0",0
"11784","32276_2011-12","*","0","0",2,"0","0",0
"11785","32276_2011-12","*","0","*",2,"0","0",0
"11786","32276_2011-12","*","0","*",2,"0","0",0
"11787","32276_2011-12","*","0","*",2,"0","0",0
"11788","32276_2011-12","*","0","*",2,"0","0",0
"11789","32276_2011-12","*","0","*",2,"0","0",0
"11790","32276_2011-12","*","0","*",2,"0","0",0
"11791","32276_2011-12","*","0","*",2,"0","0",0
"11792","32276_2011-12","*","0","*",2,"0","0",0
"11793","32276_2011-12","*","0","*",2,"0","0",0
"11794","32276_2011-12","*","0","*",2,"0","0",0
"11795","32276_2011-12","*","0","*",2,"0","0",0
"11796","32276_2011-12","*","0","*",2,"0","0",0
"11797","32276_2011-12","0","0","0",2,"0","0",0
"11798","32276_2011-12","0","0","0",2,"0","0",0
"11799","32276_2011-12","0","0","0",2,"0","0",0
"11800","32276_2011-12","0","0","0",2,"0","0",0
"11801","32276_2011-12","*","0","0",2,"0","0",0
"11802","32276_2011-12","*","0","0",2,"0","0",0
"11803","32276_2011-12","*","0","0",2,"0","0",0
"11804","32276_2011-12","*","0","0",2,"0","0",0
"11805","32276_2011-12","*","0","0",2,"0","0",0
"11806","32276_2011-12","*","0","0",2,"0","0",0
"11807","32276_2011-12","*","0","0",2,"0","0",0
"11808","32276_2011-12","*","0","0",2,"0","0",0
"11809","32276_2011-12","*","0","0",2,"0","0",0
"11810","32276_2011-12","*","0","0",2,"0","0",0
"11811","32276_2011-12","*","0","0",2,"0","0",0
"11812","32276_2011-12","*","0","0",2,"0","0",0
"11813","32276_2011-12","*","0","*",2,"0","0",0
"11814","32276_2011-12","*","0","*",2,"0","0",0
"11815","32276_2011-12","*","0","*",2,"0","0",0
"11816","32276_2011-12","*","0","*",2,"0","0",0
"11817","32276_2011-12","0","0","*",2,"0","0",0
"11818","32276_2011-12","0","0","*",2,"0","0",0
"11819","32276_2011-12","0","0","*",2,"0","0",0
"11820","32276_2011-12","0","0","*",2,"0","0",0
"11821","32276_2011-12","*","0","*",2,"0","0",0
"11822","32276_2011-12","*","0","*",2,"0","0",0
"11823","32276_2011-12","*","0","*",2,"0","0",0
"11824","32276_2011-12","*","0","*",2,"0","0",0
"11825","32276_2011-12","0","0","*",2,"0","0",0
"11826","32276_2011-12","0","0","*",2,"0","0",0
"11827","32276_2011-12","0","0","*",2,"0","0",0
"11828","32276_2011-12","0","0","*",2,"0","0",0
"11829","32276_2011-12","*","0","*",2,"0","0",0
"11830","32276_2011-12","*","0","*",2,"0","0",0
"11831","32276_2011-12","*","0","*",2,"0","0",0
"11832","32276_2011-12","*","0","*",2,"0","0",0
"11833","32276_2011-12","*","0","*",2,"0","0",0
"11834","32276_2011-12","*","0","*",2,"0","0",0
"11835","32276_2011-12","*","0","*",2,"0","0",0
"11836","32276_2011-12","*","0","*",2,"0","0",0
"11837","32276_2011-12","*","0","*",2,"0","0",0
"11838","32276_2011-12","*","0","*",2,"0","0",0
"11839","32276_2011-12","*","0","*",2,"0","0",0
"11840","32276_2011-12","*","0","*",2,"0","0",0
"11841","32276_2011-12","*","0","*",2,"0","0",0
"11842","32276_2011-12","*","0","*",2,"0","0",0
"11843","32276_2011-12","*","0","*",2,"0","0",0
"11844","32276_2011-12","*","0","*",2,"0","0",0
"11845","32276_2011-12","*","0","0",2,"0","0",0
"11846","32276_2011-12","*","0","0",2,"0","0",0
"11847","32276_2011-12","*","0","0",2,"0","0",0
"11848","32276_2011-12","*","0","0",2,"0","0",0
"11849","32276_2011-12","*","0","*",2,"0","0",0
"11850","32276_2011-12","*","0","*",2,"0","0",0
"11851","32276_2011-12","*","0","*",2,"0","0",0
"11852","32276_2011-12","*","0","*",2,"0","0",0
"11853","32276_2011-12","*","0","*",2,"0","0",0
"11854","32276_2011-12","*","0","*",2,"0","0",0
"11855","32276_2011-12","*","0","*",2,"0","0",0
"11856","32276_2011-12","*","0","*",2,"0","0",0
"11857","32276_2011-12","*","0","*",2,"0","0",0
"11858","32276_2011-12","*","0","*",2,"0","0",0
"11859","32276_2011-12","*","0","*",2,"0","0",0
