"","dist_year","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"57","10272_2012-13","Monterey",73,8,"1","5",55,"19",1,10,20,484,161,165,337,503
"58","10272_2013-14","Monterey",61,4,"0","0",19,"39",7,10,19,640,209,90,421,547
"59","10272_2014-15","Monterey",55,13,"0","0",35,"27",6,9,15,602,244,59,442,487
"60","10272_2015-16","Monterey",24,12,"0","1",16,"14",5,11,17,630,239,74,455,516
"61","10272_2016-17","Monterey",31,5,"0","1",18,"10",6,5,16,587,217,82,413,494
"62","10280_2011-12","Napa",170,13,"*","23",117,"34",0,2,6,112,36,6,37,125
"63","10280_2012-13","Napa",46,11,"*","4",42,"11",0,2,6,93,31,4,29,107
"64","10280_2013-14","Napa",123,21,"*","20",97,"26",0,1,13,98,37,2,41,110
"65","10298_2011-12","Nevada",249,31,"0","0",27,"246",7,47,379,1067,832,248,949,1624
"66","10298_2012-13","Nevada",164,26,"0","2",19,"161",8,43,386,1026,836,226,1028,1489
"67","10298_2013-14","Nevada",52,31,"0","0",5,"71",7,27,377,986,813,326,1111,1418
"68","10298_2014-15","Nevada",43,30,"0","1",5,"63",4,17,363,1152,933,261,1228,1498
"69","10298_2015-16","Nevada",53,16,"0","0",1,"52",16,20,291,1079,888,216,1069,1425
"70","10298_2016-17","Nevada",48,14,"0","0",7,"52",3,16,218,983,802,166,959,1226
"71","10306_2011-12","Orange",24,7,"0","0",25,"4",2,279,193,4377,1438,340,2382,4245
"72","10306_2012-13","Orange",33,1,"3","0",28,"3",0,264,147,4063,1324,282,2265,3815
"73","10306_2013-14","Orange",294,62,"3","22",292,"21",18,226,120,3477,1031,254,2032,3076
"74","10306_2014-15","Orange",158,42,"0","6",168,"11",15,229,91,2936,928,254,1794,2644
"75","10306_2015-16","Orange",137,36,"1","7",151,"7",7,188,75,2834,875,215,1729,2458
"76","10306_2016-17","Orange",140,38,"1","5",137,"20",15,159,89,3170,872,247,1966,2571
"77","10314_2011-12","Placer",254,45,"5","22",97,"153",15,9,16,97,224,29,107,268
"78","10314_2012-13","Placer",490,82,"3","79",249,"210",26,5,21,108,199,31,103,261
"79","10314_2013-14","Placer",276,80,"3","16",162,"158",17,7,14,104,184,25,102,232
"80","10314_2014-15","Placer",262,53,"9","47",93,"146",13,10,20,98,266,25,154,265
"81","10314_2015-16","Placer",222,51,"0","19",90,"150",6,3,11,84,236,29,150,213
"82","10314_2016-17","Placer",98,46,"0","14",50,"65",11,3,10,102,255,38,177,231
"83","10330_2011-12","Riverside",147,38,"2","23",90,"66",4,39,327,2017,1517,225,1788,2337
"84","10330_2012-13","Riverside",694,129,"8","148",519,"133",15,37,329,2020,1383,211,1677,2303
"85","10330_2013-14","Riverside",755,82,"5","199",464,"136",33,40,309,1987,1228,217,1670,2111
"86","10330_2014-15","Riverside",551,87,"4","138",371,"97",28,51,255,1858,1140,244,1606,1942
"87","10330_2015-16","Riverside",319,69,"1","62",215,"80",30,48,300,2006,1124,223,1665,2036
"88","10330_2016-17","Riverside",579,159,"1","152",454,"99",32,50,304,1983,1148,243,1692,2036
"89","10348_2011-12","Sacramento",1617,161,"16","859",362,"269",272,36,190,165,147,61,140,459
"90","10348_2012-13","Sacramento",1240,188,"18","645",343,"163",259,40,158,166,146,79,138,451
"91","10348_2013-14","Sacramento",889,203,"13","584",207,"112",176,33,201,237,180,101,222,530
"92","10348_2014-15","Sacramento",799,151,"7","510",190,"134",109,24,206,227,162,71,208,482
"93","10348_2015-16","Sacramento",497,86,"12","308",112,"65",86,45,209,261,180,89,231,553
"94","10348_2016-17","Sacramento",389,106,"14","282",84,"61",54,41,264,272,171,93,294,547
"95","10363_2011-12","San Bernardino",884,107,"0","363",454,"141",33,27,364,643,656,131,480,1341
"96","10363_2012-13","San Bernardino",861,109,"1","327",450,"139",53,28,324,742,393,169,450,1206
"97","10363_2013-14","San Bernardino",798,113,"2","304",418,"131",56,26,309,709,344,150,434,1104
"98","10363_2014-15","San Bernardino",524,80,"3","245",249,"81",26,25,287,750,280,117,404,1055
"99","10363_2015-16","San Bernardino",793,118,"5","292",387,"175",52,20,252,728,264,117,395,986
"100","10363_2016-17","San Bernardino",514,86,"2","241",236,"87",34,22,290,825,236,106,430,1049
"101","10371_2011-12","San Diego",1005,150,"9","165",798,"115",68,91,333,1955,434,154,1027,1940
"102","10371_2012-13","San Diego",394,96,"4","50",325,"70",41,133,274,1965,487,177,1132,1904
"103","10371_2013-14","San Diego",367,52,"0","64",228,"91",36,159,261,1895,473,177,1101,1864
"104","10371_2014-15","San Diego",381,59,"0","61",227,"109",43,143,237,1591,419,141,1001,1530
"105","10371_2015-16","San Diego",380,44,"1","51",287,"53",32,144,201,1354,387,127,890,1323
"106","10371_2016-17","San Diego",425,74,"6","98",273,"87",35,143,169,1079,355,110,726,1130
"107","10389_2011-12","San Francisco",81,29,"8","53",29,"8",12,42,193,144,68,57,192,312
"108","10389_2012-13","San Francisco",21,11,"3","12",11,"2",4,52,180,219,58,71,229,351
"109","10389_2013-14","San Francisco",8,2,"1","8",0,"0",1,51,142,163,43,48,170,277
"110","10389_2014-15","San Francisco",11,7,"1","12",2,"0",3,38,117,129,35,33,149,203
"111","10389_2015-16","San Francisco",24,29,"4","32",12,"0",5,40,108,135,45,41,156,213
"112","10389_2016-17","San Francisco",0,0,"0","0",0,"0",0,37,89,103,39,38,127,179
"113","10397_2011-12","San Joaquin",1663,432,"82","615",935,"297",166,109,405,1267,602,175,1023,1535
"114","10397_2012-13","San Joaquin",1238,379,"86","411",778,"210",132,122,401,1452,578,208,1147,1614
"115","10397_2013-14","San Joaquin",318,71,"11","120",160,"78",20,120,415,1548,587,220,1223,1667
"116","10397_2014-15","San Joaquin",1094,356,"37","466",754,"133",60,127,410,1562,531,184,1205,1609
"117","10397_2015-16","San Joaquin",648,173,"17","250",407,"89",58,128,363,1607,526,218,1231,1611
"118","10397_2016-17","San Joaquin",498,98,"20","172",269,"93",42,140,388,1759,541,243,1309,1762
"119","10405_2011-12","San Luis Obispo",148,47,"*","8",91,"85",11,1,18,294,249,34,183,413
"120","10405_2012-13","San Luis Obispo",127,44,"*","2",70,"70",26,3,19,298,246,47,187,426
"121","10405_2013-14","San Luis Obispo",145,44,"*","5",70,"99",14,6,7,306,210,50,189,390
"122","10405_2014-15","San Luis Obispo",201,55,"*","4",166,"77",6,2,12,289,140,29,145,327
"123","10405_2016-17","San Luis Obispo",62,13,"*","2",49,"22",2,3,7,283,92,20,117,288
"124","10413_2011-12","San Mateo",63,14,"2","6",40,"22",7,23,47,200,58,53,84,297
"125","10413_2012-13","San Mateo",54,27,"5","7",39,"26",4,20,28,184,54,49,84,251
"126","10413_2013-14","San Mateo",46,7,"0","7",31,"11",4,22,16,172,36,49,80,215
"127","10413_2014-15","San Mateo",67,10,"2","4",48,"10",13,23,20,174,54,54,90,235
"128","10413_2016-17","San Mateo",28,7,"4","2",16,"3",10,26,6,111,35,55,76,157
"129","10421_2011-12","Santa Barbara",375,190,"*","61",436,"64",1,0,13,459,68,11,179,372
"130","10421_2012-13","Santa Barbara",400,159,"*","38",467,"48",6,0,12,356,67,8,150,293
"131","10421_2013-14","Santa Barbara",145,53,"*","3",160,"30",3,0,9,253,35,7,92,212
"132","10439_2011-12","Santa Clara",574,266,"18","57",667,"67",31,447,127,1576,598,193,1201,1740
"133","10439_2012-13","Santa Clara",926,225,"31","87",876,"95",62,577,164,1891,695,311,1511,2127
"134","10439_2013-14","Santa Clara",811,219,"17","50",865,"55",43,610,155,1979,684,399,1634,2193
"135","10439_2014-15","Santa Clara",698,154,"14","36",720,"47",35,689,139,2076,698,444,1723,2323
"136","10439_2015-16","Santa Clara",555,148,"17","40",568,"46",32,636,151,2092,686,324,1700,2189
"137","10439_2016-17","Santa Clara",528,118,"18","25",564,"23",16,666,137,2068,603,301,1698,2077
"138","10447_2012-13","Santa Cruz",6,0,"0","0",0,"6",0,46,19,530,625,130,603,747
"139","10447_2013-14","Santa Cruz",23,3,"0","2",6,"16",2,42,13,459,591,208,619,694
"140","10447_2014-15","Santa Cruz",18,1,"0","0",8,"11",0,31,12,444,635,128,613,637
"141","10447_2015-16","Santa Cruz",11,1,"1","1",1,"9",0,31,17,475,689,107,603,716
"142","10447_2016-17","Santa Cruz",10,0,"0","0",2,"8",0,30,13,460,682,80,601,664
"143","10454_2013-14","Shasta",995,292,"*","252",374,"526",124,2,16,37,154,24,77,156
"144","10454_2015-16","Shasta",38,5,"*","0",4,"31",5,2,1,40,192,31,94,172
"145","10454_2016-17","Shasta",24,0,"*","0",1,"18",5,4,3,35,152,29,93,130
"146","10470_2014-15","Siskiyou",0,0,"*","*",0,"0",0,2,6,32,179,33,119,133
"147","10488_2011-12","Solano",56,23,"0","20",33,"16",10,9,83,125,109,58,113,271
"148","10488_2012-13","Solano",0,0,"0","0",0,"0",0,11,93,120,98,63,116,269
"149","10488_2013-14","Solano",44,9,"2","19",23,"5",4,11,86,102,97,61,113,244
"150","10488_2014-15","Solano",56,13,"0","39",22,"4",4,10,84,93,100,53,107,233
"151","10488_2015-16","Solano",25,1,"0","13",10,"1",2,13,86,117,99,47,104,258
"152","10488_2016-17","Solano",41,11,"0","23",19,"2",8,12,66,109,97,50,108,226
"153","10496_2011-12","Sonoma",596,108,"5","51",359,"237",45,16,28,269,325,37,222,453
"154","10496_2012-13","Sonoma",620,99,"8","41",400,"240",29,12,31,298,332,47,215,505
"155","10496_2013-14","Sonoma",317,36,"0","9",160,"166",13,7,33,300,315,41,205,491
"156","10496_2014-15","Sonoma",230,20,"2","9",98,"124",12,10,33,262,237,31,169,404
"157","10496_2015-16","Sonoma",183,13,"0","17",80,"85",12,4,21,206,204,22,143,314
"158","10496_2016-17","Sonoma",201,17,"3","10",106,"88",10,5,23,197,159,26,134,276
"159","10504_2011-12","Stanislaus",574,117,"9","61",384,"176",61,34,89,708,454,87,470,902
"160","10504_2012-13","Stanislaus",509,90,"29","62",324,"157",27,35,77,720,480,71,469,914
"161","10504_2013-14","Stanislaus",356,69,"3","39",241,"117",25,20,87,729,490,67,502,891
"162","10504_2014-15","Stanislaus",588,130,"28","60",417,"181",32,35,67,767,436,74,566,813
"163","10504_2015-16","Stanislaus",523,116,"13","54",340,"184",48,37,82,750,472,88,622,807
"164","10504_2016-17","Stanislaus",315,97,"7","30",251,"106",18,29,73,827,471,87,701,786
"165","10512_2011-12","Sutter",240,73,"3","13",110,"174",8,21,10,119,121,13,83,201
"166","10512_2012-13","Sutter",233,68,"3","19",89,"163",24,21,13,97,120,13,75,189
"167","10512_2013-14","Sutter",210,73,"0","7",91,"167",10,15,10,104,128,16,84,189
"168","10512_2014-15","Sutter",252,52,"0","5",105,"167",17,9,10,101,124,19,64,199
"169","10512_2015-16","Sutter",178,42,"0","7",60,"130",18,8,9,114,116,20,78,189
"170","10512_2016-17","Sutter",181,15,"4","5",53,"103",30,9,8,109,110,25,77,184
"171","10546_2011-12","Tulare",485,43,"4","28",424,"60",12,26,38,803,298,97,460,802
"172","10546_2012-13","Tulare",365,93,"0","9",320,"122",7,25,35,815,302,115,496,796
"173","10546_2013-14","Tulare",403,123,"0","23",343,"144",16,26,33,868,402,35,552,812
"174","10546_2014-15","Tulare",332,95,"0","15",316,"82",14,33,48,912,442,47,592,890
"175","10546_2015-16","Tulare",228,57,"0","12",205,"38",30,32,45,950,460,48,628,907
"176","10546_2016-17","Tulare",167,38,"1","8",135,"38",23,29,38,902,450,47,610,856
"177","10561_2011-12","Ventura",271,55,"1","7",255,"54",9,23,25,802,412,35,562,735
"178","10561_2012-13","Ventura",241,40,"1","6",189,"68",17,23,27,726,419,47,538,704
"179","10561_2013-14","Ventura",198,24,"0","17",149,"44",12,17,31,977,461,51,692,845
"180","10561_2014-15","Ventura",260,41,"3","9",222,"59",8,16,28,1019,502,53,773,845
"181","10561_2015-16","Ventura",147,33,"1","9",102,"60",8,20,23,1014,527,74,814,844
"182","10561_2016-17","Ventura",215,68,"0","18",185,"64",14,18,27,1027,556,71,781,918
"183","10579_2011-12","Yolo",164,51,"*","6",165,"41",3,3,7,145,112,7,96,178
"184","10579_2015-16","Yolo",104,21,"0","10",93,"20",0,6,5,92,76,5,57,127
"185","10579_2016-17","Yolo",118,26,"0","3",100,"41",0,7,9,138,77,7,69,169
"186","10587_2011-12","Yuba",178,44,"5","22",77,"77",31,12,14,172,241,49,199,289
"187","10587_2012-13","Yuba",120,25,"2","19",40,"70",14,8,21,147,226,42,188,256
"188","10587_2013-14","Yuba",120,24,"0","16",24,"85",15,10,21,139,253,44,185,282
"189","10587_2016-17","Yuba",244,32,"0","21",78,"139",38,5,17,120,201,64,155,252
"190","32276_2016-17","Sacramento",0,0,"0","0",0,"0",0,8,125,218,31,6,9,379
"191","62117_2011-12","Fresno",3342,951,"182","332",1820,"1749",210,2428,649,5481,8945,975,9049,9429
"192","62117_2012-13","Fresno",2698,844,"149","317",1466,"1419",191,2443,640,5791,8891,1036,9296,9505
"193","62117_2013-14","Fresno",2561,797,"115","270",1475,"1291",207,2435,634,5970,8894,1137,9445,9625
"194","62117_2014-15","Fresno",2050,527,"98","218",1120,"990",151,2467,633,6263,8731,1147,9418,9823
"195","62117_2015-16","Fresno",1928,480,"76","224",1078,"898",132,2603,611,6568,8580,1171,9555,9978
"196","62125_2011-12","Fresno",1480,565,"16","35",1784,"186",22,37,25,1517,275,22,920,956
"197","62125_2012-13","Fresno",1091,487,"15","33",1346,"151",30,35,18,1530,243,23,915,934
"198","62125_2013-14","Fresno",963,286,"9","39",1026,"146",29,34,14,1584,233,18,923,960
"199","62125_2014-15","Fresno",748,185,"6","29",794,"93",11,32,16,1593,225,27,929,964
"200","62125_2015-16","Fresno",467,95,"1","16",459,"73",13,32,22,1618,234,28,942,992
"201","62125_2016-17","Fresno",439,128,"2","15",480,"60",10,31,19,1640,230,35,956,999
"202","62158_2013-14","Fresno",23,8,"0","0",28,"3",0,106,15,865,116,4,529,577
"203","62158_2014-15","Fresno",25,21,"0","1",41,"4",0,106,14,895,122,5,566,576
"204","62158_2015-16","Fresno",45,13,"2","0",55,"1",0,109,12,941,120,9,590,601
"205","62166_2011-12","Fresno",10017,3660,"486","3461",7959,"1436",335,4492,3472,19686,4514,658,16153,16669
"206","62166_2012-13","Fresno",9017,3060,"420","3146",6980,"1202",329,4166,3215,19741,4129,716,15813,16154
"207","62166_2013-14","Fresno",8733,3099,"408","2844",7111,"1183",286,3960,3004,19734,3971,728,15474,15923
"208","62166_2014-15","Fresno",7924,2617,"265","2553",6391,"1020",312,3690,3025,19874,3598,760,15220,15727
"209","62166_2015-16","Fresno",7476,2713,"223","2308",6271,"1066",321,3552,2883,20129,3382,829,15110,15665
"210","62166_2016-17","Fresno",7650,2661,"239","2286",6391,"1034",361,3427,2764,20336,3241,867,15075,15560
"211","62240_2015-16","Fresno",69,9,"0","*",51,"26",1,14,2,283,158,12,241,228
"212","62240_2016-17","Fresno",85,41,"1","*",105,"19",0,11,1,304,167,18,231,270
"213","62257_2011-12","Fresno",0,0,"0","*",0,"0",0,41,1,651,414,47,566,588
"214","62265_2011-12","Fresno",744,211,"11","13",848,"63",20,55,23,3737,576,102,2253,2240
"215","62265_2012-13","Fresno",462,145,"9","18",500,"62",18,54,22,3730,552,95,2223,2230
"216","62265_2013-14","Fresno",663,201,"3","6",761,"78",16,63,21,3678,458,99,2121,2198
"217","62265_2014-15","Fresno",483,143,"5","3",520,"70",28,61,10,3680,445,88,2091,2193
"218","62265_2015-16","Fresno",546,152,"7","0",568,"94",29,62,9,3730,427,78,2107,2199
"219","62265_2016-17","Fresno",673,196,"5","4",712,"127",20,56,9,3811,405,95,2117,2259
"220","62331_2012-13","Fresno",36,10,"2","7",37,"0",0,19,15,100,118,18,142,128
"221","62331_2013-14","Fresno",25,11,"0","0",35,"0",0,14,21,123,107,12,142,135
"222","62331_2014-15","Fresno",31,10,"3","1",36,"0",0,12,17,124,118,30,140,161
"223","62331_2015-16","Fresno",49,2,"2","0",45,"4",0,16,8,130,84,27,122,143
"224","62331_2016-17","Fresno",25,0,"0","2",19,"4",0,16,15,122,77,18,149,99
"225","62380_2016-17","Fresno",10,0,"0","0",10,"0",0,17,43,357,36,19,247,225
"226","62414_2011-12","Fresno",576,244,"9","20",713,"67",11,484,74,3423,772,88,2429,2412
"227","62414_2012-13","Fresno",481,173,"15","9",558,"61",11,480,70,3435,746,91,2479,2343
"228","62414_2013-14","Fresno",433,133,"11","15",465,"53",22,510,66,3483,682,110,2451,2400
"229","62414_2014-15","Fresno",480,204,"19","24",572,"57",12,525,80,3429,686,121,2455,2386
"230","62414_2015-16","Fresno",416,202,"10","16",510,"63",19,559,81,3530,661,138,2525,2444
"231","62414_2016-17","Fresno",398,163,"16","11",434,"72",28,559,74,3621,669,142,2537,2528
"232","62430_2011-12","Fresno",728,192,"16","6",834,"60",4,148,20,2413,221,34,1407,1429
"233","62430_2012-13","Fresno",529,127,"20","7",597,"29",2,130,23,2426,208,31,1422,1396
"234","62430_2013-14","Fresno",460,116,"12","6",525,"30",2,150,19,2487,183,33,1457,1415
"235","62430_2014-15","Fresno",395,99,"7","2",459,"25",1,144,15,2526,177,34,1449,1447
"236","62430_2015-16","Fresno",411,122,"12","12",485,"22",2,150,9,2605,165,29,1454,1504
"237","62430_2016-17","Fresno",465,168,"16","11",556,"45",2,139,8,2623,149,23,1435,1507
"238","62547_2014-15","Fresno",5,0,"0","0",5,"0",0,20,33,420,155,28,345,311
"239","62547_2015-16","Fresno",0,0,"0","0",0,"0",0,18,37,425,177,24,346,335
"240","62547_2016-17","Fresno",1,0,"0","0",1,"0",0,17,51,476,210,63,426,391
"241","62661_2011-12","Glenn",49,15,"1","3",25,"32",3,39,10,312,338,28,333,394
"242","62661_2012-13","Glenn",104,16,"1","2",62,"51",4,39,10,325,329,22,339,386
"243","62661_2013-14","Glenn",67,17,"2","0",35,"42",3,39,6,310,308,28,318,373
"244","62661_2014-15","Glenn",45,10,"7","1",25,"19",3,36,11,319,304,26,324,372
"245","62661_2015-16","Glenn",41,6,"2","3",14,"25",3,33,9,341,285,30,326,372
"246","62661_2016-17","Glenn",200,35,"3","6",93,"110",21,30,3,330,295,34,340,352
"247","62679_2011-12","Humboldt",26,3,"0","0",3,"14",12,6,5,21,144,40,103,113
"248","62679_2014-15","Humboldt",68,3,"0","4",8,"41",18,7,3,23,161,30,117,107
"249","62679_2015-16","Humboldt",42,3,"0","2",8,"26",9,6,2,28,158,33,116,111
"250","62679_2016-17","Humboldt",43,6,"0","1",11,"31",6,5,3,28,143,27,104,102
"251","62745_2011-12","Humboldt",9,2,"0","*",2,"7",2,0,0,0,0,0,0,0
"252","62745_2012-13","Humboldt",0,3,"0","*",0,"1",1,0,0,0,0,0,0,0
"253","62745_2013-14","Humboldt",9,0,"0","*",1,"7",1,0,0,0,0,0,0,0
"254","62745_2014-15","Humboldt",7,5,"0","*",1,"8",2,0,0,0,0,0,0,0
"255","62802_2011-12","Humboldt",21,8,"*","*",7,"19",2,2,4,64,65,14,77,72
"256","62810_2011-12","Humboldt",384,217,"1","9",124,"406",59,14,10,189,842,95,556,594
"257","62810_2012-13","Humboldt",224,94,"1","*",49,"226",38,18,5,202,761,89,540,535
"258","62810_2013-14","Humboldt",308,102,"6","*",113,"230",44,17,7,240,723,110,551,546
"259","62810_2015-16","Humboldt",225,89,"1","*",62,"180",59,17,4,268,697,148,593,541
"260","62810_2016-17","Humboldt",355,91,"0","*",85,"250",100,14,4,272,664,151,562,543
"261","62893_2015-16","Humboldt",14,0,"0","*",1,"11",2,2,0,14,70,12,52,46
"262","62901_2011-12","Humboldt",146,37,"*","*",1,"22",160,2,0,18,42,387,186,263
"263","62901_2012-13","Humboldt",79,29,"*","*",2,"7",99,2,1,16,42,365,177,249
"264","62901_2013-14","Humboldt",153,56,"*","*",10,"15",184,2,1,16,44,382,196,249
"265","62901_2014-15","Humboldt",60,2,"*","*",0,"14",48,2,2,15,44,388,197,254
"266","62901_2015-16","Humboldt",129,58,"*","*",4,"21",161,1,2,20,41,387,204,247
"267","62927_2015-16","Humboldt",79,34,"*","*",58,"10",45,0,0,26,54,26,46,60
"268","62927_2016-17","Humboldt",53,48,"*","*",36,"17",48,0,0,19,47,20,44,42
"269","62950_2011-12","Humboldt",29,5,"*","1",4,"13",16,1,2,24,176,56,127,132
"270","62950_2012-13","Humboldt",220,24,"4","5",26,"159",49,2,3,26,167,43,122,119
"271","62950_2015-16","Humboldt",119,37,"0","4",4,"107",41,4,4,29,156,46,119,120
"272","63032_2011-12","Humboldt",0,0,"0","*",0,"0",0,3,2,17,138,29,101,88
"273","63032_2012-13","Humboldt",60,24,"2","*",13,"36",33,3,3,27,159,37,127,102
"274","63032_2013-14","Humboldt",54,2,"0","1",15,"29",11,9,5,40,166,33,161,92
"275","63032_2014-15","Humboldt",98,8,"0","2",30,"48",26,5,6,40,165,41,145,112
"276","63032_2015-16","Humboldt",0,0,"0","*",0,"0",0,7,4,45,192,46,171,123
"277","63032_2016-17","Humboldt",64,12,"0","*",9,"52",13,6,3,40,196,50,163,132
"278","63040_2011-12","Humboldt",5,3,"0","*",0,"5",3,6,4,34,272,33,152,197
"279","63040_2012-13","Humboldt",0,0,"0","*",0,"0",0,6,4,37,224,29,130,170
"280","63040_2013-14","Humboldt",103,29,"*","4",10,"107",10,4,7,40,233,31,138,177
"281","63040_2014-15","Humboldt",152,46,"*","4",12,"164",15,3,5,46,230,32,140,176
"282","63040_2015-16","Humboldt",130,34,"*","1",9,"144",9,5,5,48,243,26,145,182
"283","63040_2016-17","Humboldt",115,44,"*","*",22,"115",14,4,5,49,238,22,150,168
"284","63073_2011-12","Imperial",1467,359,"3","12",1691,"111",0,4,6,750,55,5,362,458
"285","63073_2012-13","Imperial",0,0,"0","0",0,"0",0,5,5,797,45,5,404,453
