"","dist_year","Expulsion_Female","Expulsion_Male","Expulsion_Total","Expulsion_Asian","Expulsion_Black","Expulsion_Hispanic","Expulsion_White","Expulsion_Other"
"1591","68106_2012-13",9,39,48,0,2,42,3,1
"1592","68114_2012-13",6,7,13,0,0,11,2,0
"1593","68122_2012-13",1,15,16,0,5,11,0,0
"1594","68130_2012-13",32,129,161,0,21,62,61,17
"1595","68155_2012-13",0,0,0,0,0,0,0,NA
"1596","68163_2012-13",0,0,0,0,0,0,0,0
"1597","68171_2012-13",0,0,0,NA,0,0,0,NA
"1598","68189_2012-13",1,4,5,0,0,3,2,0
"1599","68197_2012-13",1,1,2,0,0,2,0,NA
"1600","68205_2012-13",0,0,0,0,0,0,0,0
"1601","68213_2012-13",2,6,8,0,2,2,4,0
"1602","68221_2012-13",0,0,0,0,0,0,0,NA
"1603","68296_2012-13",5,24,29,1,3,10,12,3
"1604","68304_2012-13",3,5,8,0,0,6,2,NA
"1605","68312_2012-13",0,0,0,0,NA,0,0,NA
"1606","68338_2012-13",27,186,213,10,46,127,21,9
"1607","68346_2012-13",1,6,7,0,0,3,4,0
"1608","68353_2012-13",0,0,0,NA,0,0,0,NA
"1609","68361_2012-13",0,0,0,0,0,0,0,0
"1610","68379_2012-13",0,0,0,0,0,0,0,NA
"1611","68387_2012-13",0,1,1,0,0,0,1,NA
"1612","68395_2012-13",0,0,0,0,0,0,0,NA
"1613","68403_2012-13",0,0,0,0,0,0,0,NA
"1614","68411_2012-13",3,25,28,0,2,23,1,2
"1615","68437_2012-13",0,0,0,NA,0,0,0,NA
"1616","68452_2012-13",6,21,27,0,1,21,3,2
"1617","68478_2012-13",3,12,15,3,7,1,2,2
"1618","68486_2012-13",0,0,0,NA,NA,0,0,NA
"1619","68502_2012-13",1,6,7,0,0,4,3,NA
"1620","68544_2012-13",0,0,0,0,0,0,0,NA
"1621","68569_2012-13",14,35,49,1,13,12,14,NA
"1622","68577_2012-13",0,4,4,1,0,1,2,NA
"1623","68585_2012-13",14,60,74,12,21,23,13,5
"1624","68593_2012-13",12,53,65,2,12,33,14,4
"1625","68619_2012-13",1,3,4,NA,0,4,0,NA
"1626","68627_2012-13",0,0,0,0,0,0,0,0
"1627","68635_2012-13",0,0,0,NA,0,0,0,NA
"1628","68650_2012-13",4,13,17,0,0,11,6,0
"1629","68676_2012-13",2,8,10,0,4,5,1,0
"1630","68700_2012-13",0,0,0,0,0,0,0,NA
"1631","68726_2012-13",0,0,0,NA,NA,0,0,NA
"1632","68759_2012-13",8,45,53,0,0,23,28,NA
"1633","68791_2012-13",0,0,0,0,0,0,0,NA
"1634","68809_2012-13",6,14,20,0,2,8,7,NA
"1635","68825_2012-13",0,0,0,NA,NA,0,0,NA
"1636","68833_2012-13",0,1,1,NA,NA,1,0,NA
"1637","68841_2012-13",2,1,3,0,0,1,1,NA
"1638","68858_2012-13",0,0,0,0,0,0,NA,NA
"1639","68866_2012-13",0,0,0,0,0,0,0,NA
"1640","68874_2012-13",0,0,0,0,0,0,0,NA
"1641","68882_2012-13",0,0,0,0,0,0,0,NA
"1642","68890_2012-13",0,7,7,0,0,7,0,NA
"1643","68908_2012-13",0,0,0,0,NA,0,0,NA
"1644","68916_2012-13",1,0,1,0,0,1,0,0
"1645","68924_2012-13",0,1,1,0,0,0,0,NA
"1646","68932_2012-13",0,0,0,0,0,0,0,0
"1647","68940_2012-13",0,0,0,NA,NA,0,0,NA
"1648","68957_2012-13",0,0,0,0,0,0,0,NA
"1649","68965_2012-13",0,0,0,0,0,0,0,NA
"1650","68973_2012-13",0,0,0,0,0,0,0,NA
"1651","68981_2012-13",0,0,0,0,NA,0,0,NA
"1652","68999_2012-13",1,3,4,0,1,2,0,1
"1653","69005_2012-13",0,1,1,0,0,1,0,0
"1654","69013_2012-13",2,2,4,0,0,2,1,NA
"1655","69021_2012-13",0,0,0,0,0,0,0,NA
"1656","69039_2012-13",0,2,2,0,0,0,0,2
"1657","69047_2012-13",1,39,40,2,4,15,13,NA
"1658","69062_2012-13",2,23,25,0,4,18,1,2
"1659","69070_2012-13",8,33,41,1,2,34,1,3
"1660","69088_2012-13",0,0,0,0,NA,0,0,NA
"1661","69104_2012-13",0,0,0,NA,NA,0,0,NA
"1662","69112_2012-13",0,0,0,0,0,0,0,NA
"1663","69120_2012-13",2,3,5,0,0,4,1,NA
"1664","69138_2012-13",0,0,0,0,NA,0,0,NA
"1665","69146_2012-13",0,7,7,1,0,6,0,NA
"1666","69161_2012-13",0,0,0,NA,NA,NA,0,NA
"1667","69179_2012-13",0,0,0,NA,NA,0,0,NA
"1668","69195_2012-13",0,0,0,0,0,0,0,NA
"1669","69203_2012-13",0,1,1,0,NA,1,0,NA
"1670","69211_2012-13",0,0,0,0,NA,0,0,NA
"1671","69229_2012-13",6,18,24,1,3,12,8,NA
"1672","69245_2012-13",0,0,0,NA,NA,0,0,NA
"1673","69252_2012-13",0,0,0,NA,NA,0,0,NA
"1674","69260_2012-13",0,0,0,0,0,0,0,NA
"1675","69310_2012-13",0,9,9,0,0,8,1,NA
"1676","69328_2012-13",1,3,4,NA,0,0,4,NA
"1677","69336_2012-13",0,0,0,0,NA,0,0,NA
"1678","69344_2012-13",0,0,0,NA,0,0,0,NA
"1679","69369_2012-13",0,1,1,0,0,1,0,NA
"1680","69377_2012-13",1,6,7,0,1,6,0,0
"1681","69385_2012-13",0,0,0,0,0,0,0,0
"1682","69393_2012-13",0,3,3,0,0,1,2,0
"1683","69401_2012-13",0,6,6,1,0,5,0,NA
"1684","69419_2012-13",0,3,3,2,0,0,0,1
"1685","69427_2012-13",9,33,42,5,2,32,0,3
"1686","69435_2012-13",1,4,5,0,0,4,0,1
"1687","69450_2012-13",2,15,17,1,0,16,0,0
"1688","69468_2012-13",5,18,23,2,0,17,3,NA
"1689","69484_2012-13",11,23,34,0,1,33,0,0
"1690","69492_2012-13",0,0,0,NA,0,0,0,NA
"1691","69500_2012-13",0,0,0,0,NA,0,0,NA
"1692","69518_2012-13",0,0,0,0,0,0,0,NA
"1693","69526_2012-13",0,0,0,0,0,0,0,NA
"1694","69534_2012-13",0,0,0,0,0,0,0,NA
"1695","69542_2012-13",0,0,0,NA,0,0,0,NA
"1696","69575_2012-13",0,0,0,0,0,0,0,0
"1697","69583_2012-13",0,0,0,0,0,0,0,0
"1698","69591_2012-13",0,0,0,0,0,0,0,NA
"1699","69609_2012-13",0,0,0,0,0,0,0,NA
"1700","69617_2012-13",1,2,3,0,0,3,0,0
"1701","69625_2012-13",2,1,3,0,1,2,0,0
"1702","69633_2012-13",0,0,0,0,0,0,0,NA
"1703","69641_2012-13",2,7,9,1,2,1,4,1
"1704","69666_2012-13",10,46,56,2,3,47,3,1
"1705","69674_2012-13",0,0,0,0,0,0,0,0
"1706","69682_2012-13",0,0,0,0,NA,0,0,NA
"1707","69690_2012-13",0,0,0,0,0,0,0,0
"1708","69708_2012-13",0,6,6,0,3,2,1,0
"1709","69732_2012-13",0,0,0,NA,0,NA,0,NA
"1710","69757_2012-13",0,0,0,NA,0,NA,0,NA
"1711","69765_2012-13",1,2,3,0,0,2,1,NA
"1712","69773_2012-13",0,0,0,NA,0,NA,0,NA
"1713","69781_2012-13",0,0,0,NA,NA,0,0,NA
"1714","69799_2012-13",8,69,77,0,0,69,7,1
"1715","69807_2012-13",0,0,0,0,0,0,0,NA
"1716","69815_2012-13",0,0,0,0,0,0,0,NA
"1717","69823_2012-13",0,16,16,0,0,6,3,7
"1718","69849_2012-13",0,0,0,0,0,0,0,NA
"1719","69856_2012-13",1,5,6,0,0,0,6,NA
"1720","69872_2012-13",0,0,0,0,NA,0,0,NA
"1721","69880_2012-13",0,0,0,0,NA,0,0,NA
"1722","69914_2012-13",0,0,0,0,0,0,0,NA
"1723","69922_2012-13",0,0,0,0,NA,0,0,NA
"1724","69948_2012-13",0,0,0,NA,NA,0,0,NA
"1725","69955_2012-13",0,0,0,0,NA,0,0,NA
"1726","69971_2012-13",1,1,2,0,0,1,1,NA
"1727","69989_2012-13",0,4,4,NA,NA,0,3,NA
"1728","69997_2012-13",0,0,0,0,0,NA,0,NA
"1729","70003_2012-13",0,0,0,0,NA,0,0,NA
"1730","70011_2012-13",0,1,1,0,NA,0,0,NA
"1731","70029_2012-13",0,0,0,NA,NA,0,0,NA
"1732","70037_2012-13",NA,NA,0,0,0,NA,NA,NA
"1733","70045_2012-13",0,0,0,NA,NA,0,0,NA
"1734","70052_2012-13",0,0,0,NA,NA,0,0,NA
"1735","70078_2012-13",0,0,0,NA,NA,NA,0,NA
"1736","70086_2012-13",0,NA,0,0,0,0,0,NA
"1737","70094_2012-13",0,0,0,NA,NA,0,0,NA
"1738","70110_2012-13",0,0,0,0,0,0,0,NA
"1739","70128_2012-13",0,0,0,NA,0,0,0,0
"1740","70136_2012-13",3,15,18,0,1,0,17,0
"1741","70169_2012-13",0,0,0,NA,NA,NA,0,NA
"1742","70177_2012-13",0,0,0,NA,NA,0,0,NA
"1743","70185_2012-13",0,1,1,NA,0,0,0,NA
"1744","70193_2012-13",NA,NA,0,0,NA,NA,0,0
"1745","70201_2012-13",0,0,0,NA,NA,0,0,NA
"1746","70227_2012-13",0,0,0,0,0,NA,0,NA
"1747","70243_2012-13",0,0,0,0,NA,0,0,NA
"1748","70250_2012-13",0,0,0,0,NA,0,0,NA
"1749","70292_2012-13",NA,NA,0,0,0,0,NA,NA
"1750","70318_2012-13",0,0,0,0,NA,NA,0,NA
"1751","70326_2012-13",0,0,0,NA,NA,NA,0,NA
"1752","70334_2012-13",0,0,0,0,0,NA,0,NA
"1753","70359_2012-13",0,0,0,0,0,NA,0,NA
"1754","70367_2012-13",0,0,0,0,0,0,0,0
"1755","70375_2012-13",0,NA,0,0,0,NA,NA,NA
"1756","70383_2012-13",0,0,0,0,0,NA,0,NA
"1757","70409_2012-13",0,0,0,0,NA,NA,0,0
"1758","70417_2012-13",0,0,0,0,0,0,0,NA
"1759","70425_2012-13",0,0,0,NA,0,0,0,NA
"1760","70458_2012-13",NA,NA,NA,0,0,0,NA,NA
"1761","70466_2012-13",0,1,1,0,0,0,1,NA
"1762","70482_2012-13",0,0,0,0,0,0,0,0
"1763","70490_2012-13",0,0,0,0,0,NA,0,NA
"1764","70508_2012-13",1,0,1,0,0,0,1,NA
"1765","70516_2012-13",1,5,6,NA,NA,0,6,NA
"1766","70524_2012-13",2,3,5,0,1,0,1,3
"1767","70532_2012-13",0,5,5,1,0,2,2,0
"1768","70540_2012-13",10,32,42,2,18,12,6,NA
"1769","70565_2012-13",0,0,0,0,0,0,0,NA
"1770","70573_2012-13",0,8,8,0,2,3,3,0
"1771","70581_2012-13",2,15,17,0,8,7,0,2
"1772","70599_2012-13",0,0,0,0,0,0,0,NA
"1773","70607_2012-13",0,0,0,0,0,0,0,NA
"1774","70615_2012-13",0,0,0,0,0,0,0,NA
"1775","70623_2012-13",0,0,0,0,0,0,0,NA
"1776","70649_2012-13",0,0,0,0,0,0,0,NA
"1777","70656_2012-13",0,0,0,NA,NA,0,0,NA
"1778","70672_2012-13",0,0,0,NA,0,0,0,0
"1779","70680_2012-13",0,0,0,NA,NA,0,0,NA
"1780","70698_2012-13",0,0,0,0,0,NA,0,NA
"1781","70706_2012-13",0,0,0,NA,0,0,0,NA
"1782","70714_2012-13",0,0,0,0,NA,0,0,NA
"1783","70722_2012-13",0,1,1,NA,0,0,1,NA
"1784","70730_2012-13",0,0,0,0,0,0,0,NA
"1785","70763_2012-13",0,0,0,0,0,0,0,NA
"1786","70789_2012-13",0,0,0,NA,NA,0,0,0
"1787","70797_2012-13",0,0,0,0,0,0,0,NA
"1788","70805_2012-13",0,0,0,0,0,0,0,NA
"1789","70813_2012-13",0,0,0,0,NA,0,0,NA
"1790","70821_2012-13",0,0,0,0,0,NA,0,NA
"1791","70839_2012-13",0,0,0,0,0,0,0,NA
"1792","70847_2012-13",0,0,0,0,0,0,0,NA
"1793","70854_2012-13",0,0,0,0,0,0,0,NA
"1794","70862_2012-13",0,13,13,0,0,4,9,NA
"1795","70870_2012-13",0,0,0,0,0,0,0,NA
"1796","70888_2012-13",NA,NA,0,0,0,0,0,NA
"1797","70896_2012-13",0,0,0,0,0,0,0,0
"1798","70904_2012-13",0,0,0,0,0,0,0,NA
"1799","70912_2012-13",0,0,0,0,0,0,0,0
"1800","70920_2012-13",14,50,64,0,3,43,11,7
"1801","70938_2012-13",0,0,0,0,NA,0,0,NA
"1802","70953_2012-13",1,8,9,0,1,4,4,NA
"1803","70961_2012-13",0,0,0,0,NA,0,0,NA
"1804","70979_2012-13",0,0,0,0,NA,0,0,NA
"1805","70995_2012-13",0,0,0,0,0,0,0,NA
"1806","71001_2012-13",0,0,0,0,0,0,0,NA
"1807","71019_2012-13",0,0,0,NA,NA,0,0,NA
"1808","71035_2012-13",0,0,0,0,0,0,0,NA
"1809","71043_2012-13",11,41,52,1,2,38,10,1
"1810","71050_2012-13",0,0,0,0,NA,0,0,NA
"1811","71068_2012-13",0,2,2,0,NA,0,2,NA
"1812","71076_2012-13",5,13,18,0,0,12,6,0
"1813","71084_2012-13",0,0,0,NA,NA,0,0,NA
"1814","71092_2012-13",0,0,0,0,0,0,0,NA
"1815","71100_2012-13",0,0,0,NA,0,0,0,NA
"1816","71134_2012-13",1,1,2,0,NA,1,1,NA
"1817","71142_2012-13",0,0,0,0,0,0,0,NA
"1818","71167_2012-13",5,14,19,0,0,13,4,2
"1819","71175_2012-13",11,41,52,0,3,29,18,2
"1820","71209_2012-13",0,0,0,NA,0,0,NA,0
"1821","71217_2012-13",8,30,38,0,11,21,5,1
"1822","71233_2012-13",0,0,0,0,0,0,0,NA
"1823","71266_2012-13",0,4,4,0,0,2,2,NA
"1824","71274_2012-13",0,0,0,0,0,0,0,NA
"1825","71282_2012-13",9,13,22,0,4,15,3,0
"1826","71290_2012-13",0,1,1,0,0,0,0,1
"1827","71324_2012-13",0,0,0,NA,NA,0,0,NA
"1828","71357_2012-13",0,0,0,NA,0,0,0,NA
"1829","71365_2012-13",0,0,0,NA,NA,0,0,NA
"1830","71373_2012-13",0,0,0,0,NA,0,0,NA
"1831","71381_2012-13",0,0,0,0,NA,0,0,NA
"1832","71399_2012-13",0,0,0,0,NA,0,0,NA
"1833","71407_2012-13",0,0,0,0,0,0,0,NA
"1834","71415_2012-13",0,1,1,NA,NA,1,0,NA
"1835","71423_2012-13",0,0,0,0,0,0,0,NA
"1836","71431_2012-13",0,0,0,0,NA,0,0,NA
"1837","71449_2012-13",0,3,3,0,NA,1,2,NA
"1838","71456_2012-13",0,0,0,NA,0,0,0,NA
"1839","71464_2012-13",20,72,92,2,4,44,33,9
"1840","71472_2012-13",0,0,0,0,NA,0,0,NA
"1841","71498_2012-13",0,0,0,0,0,0,0,NA
"1842","71506_2012-13",0,0,0,NA,NA,0,0,NA
"1843","71514_2012-13",NA,NA,0,NA,0,NA,0,0
"1844","71522_2012-13",0,0,0,NA,NA,0,0,NA
"1845","71530_2012-13",0,0,0,0,0,NA,0,NA
"1846","71548_2012-13",0,0,0,NA,NA,0,0,NA
"1847","71555_2012-13",0,0,0,0,0,0,0,0
"1848","71563_2012-13",0,0,0,NA,NA,0,0,NA
"1849","71571_2012-13",0,0,0,0,NA,0,0,NA
"1850","71589_2012-13",0,0,0,0,0,NA,0,NA
"1851","71605_2012-13",0,0,0,0,NA,0,0,NA
"1852","71613_2012-13",NA,0,0,0,NA,NA,0,NA
"1853","71621_2012-13",3,4,7,0,0,0,7,NA
"1854","71639_2012-13",1,2,3,0,0,2,1,NA
"1855","71647_2012-13",0,0,0,0,NA,NA,0,NA
"1856","71654_2012-13",0,0,0,NA,NA,0,0,NA
"1857","71662_2012-13",0,0,0,0,0,0,0,NA
"1858","71670_2012-13",NA,NA,0,0,0,0,NA,NA
"1859","71688_2012-13",NA,NA,0,0,0,NA,NA,0
"1860","71696_2012-13",0,0,0,NA,0,0,0,NA
"1861","71738_2012-13",0,0,0,0,0,NA,0,NA
"1862","71746_2012-13",0,0,0,NA,NA,0,0,NA
"1863","71761_2012-13",NA,NA,0,0,0,NA,NA,NA
"1864","71795_2012-13",0,0,0,0,0,0,0,NA
"1865","71803_2012-13",0,0,0,0,NA,0,0,NA
"1866","71811_2012-13",0,0,0,0,NA,0,0,NA
"1867","71829_2012-13",0,0,0,0,NA,0,0,NA
"1868","71837_2012-13",2,1,3,0,0,2,1,NA
"1869","71845_2012-13",0,0,0,0,0,0,0,0
"1870","71852_2012-13",0,0,0,NA,NA,0,0,NA
"1871","71860_2012-13",0,4,4,0,NA,4,0,NA
"1872","71894_2012-13",0,0,0,0,0,0,NA,NA
"1873","71902_2012-13",2,5,7,NA,NA,7,0,NA
"1874","71910_2012-13",0,0,0,0,0,0,0,NA
"1875","71928_2012-13",0,0,0,NA,0,0,0,NA
"1876","71944_2012-13",0,0,0,NA,0,0,0,NA
"1877","71951_2012-13",0,NA,0,0,0,NA,0,NA
"1878","71969_2012-13",0,0,0,NA,NA,0,0,NA
"1879","71985_2012-13",0,0,0,NA,NA,0,0,NA
"1880","71993_2012-13",2,10,12,0,NA,11,0,NA
"1881","72009_2012-13",0,0,0,NA,NA,0,0,NA
"1882","72017_2012-13",0,0,0,NA,NA,0,0,NA
"1883","72025_2012-13",0,0,0,NA,0,0,0,NA
"1884","72033_2012-13",0,0,0,NA,NA,0,0,NA
"1885","72041_2012-13",0,1,1,0,0,1,0,NA
"1886","72058_2012-13",0,0,0,NA,NA,0,NA,NA
"1887","72082_2012-13",1,5,6,NA,0,6,NA,NA
"1888","72090_2012-13",0,0,0,NA,0,0,0,NA
"1889","72108_2012-13",0,0,0,0,0,0,0,NA
"1890","72116_2012-13",0,0,0,NA,NA,0,0,NA
"1891","72132_2012-13",0,0,0,NA,NA,0,0,NA
"1892","72140_2012-13",0,0,0,0,0,0,0,NA
"1893","72157_2012-13",0,0,0,NA,NA,0,0,NA
"1894","72173_2012-13",0,0,0,0,NA,0,0,NA
"1895","72181_2012-13",0,0,0,0,0,0,0,NA
"1896","72199_2012-13",0,0,0,NA,NA,0,0,NA
"1897","72207_2012-13",0,0,0,NA,NA,0,0,NA
"1898","72215_2012-13",0,2,2,NA,NA,2,0,NA
"1899","72223_2012-13",0,0,0,NA,0,0,0,NA
"1900","72231_2012-13",1,2,3,0,0,3,0,NA
"1901","72249_2012-13",0,1,1,0,0,1,0,NA
"1902","72256_2012-13",8,25,33,1,1,25,5,1
"1903","72264_2012-13",0,0,0,0,NA,0,0,NA
"1904","72298_2012-13",0,0,0,0,0,0,0,NA
"1905","72306_2012-13",0,0,0,NA,NA,0,0,NA
"1906","72348_2012-13",0,0,0,NA,0,0,0,NA
"1907","72355_2012-13",0,0,0,NA,NA,0,0,NA
"1908","72363_2012-13",3,2,5,NA,0,3,1,NA
"1909","72371_2012-13",0,0,0,0,NA,0,0,NA
"1910","72389_2012-13",5,11,16,NA,NA,1,13,NA
"1911","72397_2012-13",0,1,1,0,0,0,0,NA
"1912","72405_2012-13",1,2,3,NA,NA,0,2,NA
"1913","72413_2012-13",0,0,0,NA,0,0,0,NA
"1914","72421_2012-13",0,0,0,NA,NA,0,0,NA
"1915","72447_2012-13",0,0,0,NA,0,0,0,NA
"1916","72454_2012-13",0,0,0,0,0,0,0,0
"1917","72462_2012-13",1,2,3,0,0,3,0,NA
"1918","72470_2012-13",0,0,0,0,0,0,0,NA
"1919","72504_2012-13",0,0,0,0,0,0,0,NA
"1920","72512_2012-13",0,3,3,0,0,3,0,NA
"1921","72520_2012-13",0,0,0,0,0,0,0,NA
"1922","72538_2012-13",0,0,0,0,0,0,0,0
"1923","72546_2012-13",17,86,103,0,3,94,5,NA
"1924","72553_2012-13",0,0,0,0,0,0,0,NA
"1925","72561_2012-13",0,1,1,0,0,1,0,0
"1926","72579_2012-13",0,0,0,0,0,0,0,NA
"1927","72587_2012-13",0,3,3,NA,NA,3,0,NA
"1928","72595_2012-13",0,6,6,NA,NA,5,1,NA
"1929","72603_2012-13",0,0,0,0,0,0,0,NA
"1930","72611_2012-13",0,0,0,0,0,0,0,NA
"1931","72652_2012-13",6,25,31,0,0,20,10,1
"1932","72678_2012-13",1,1,2,0,0,1,1,NA
"1933","72686_2012-13",0,0,0,NA,0,0,0,NA
"1934","72694_2012-13",0,5,5,0,0,2,3,NA
"1935","72702_2012-13",0,3,3,NA,0,0,3,NA
"1936","72710_2012-13",1,8,9,0,0,7,2,0
"1937","72728_2012-13",0,0,0,NA,NA,0,0,NA
"1938","72736_2012-13",9,65,74,4,4,26,32,8
"1939","72744_2012-13",0,1,1,0,1,0,0,NA
"1940","72751_2012-13",0,0,0,0,0,0,0,NA
"1941","72769_2012-13",1,5,6,0,1,2,3,NA
"1942","73361_2012-13",0,0,0,NA,NA,0,0,NA
"1943","73379_2012-13",0,0,0,0,0,0,0,NA
"1944","73387_2012-13",0,0,0,0,0,0,0,0
"1945","73437_2012-13",1,0,1,0,0,1,0,0
"1946","73445_2012-13",3,15,18,0,1,16,0,1
"1947","73452_2012-13",0,0,0,0,0,0,0,0
"1948","73460_2012-13",0,0,0,0,0,0,0,NA
"1949","73544_2012-13",0,0,0,NA,NA,0,0,NA
"1950","73551_2012-13",2,10,12,0,1,6,5,0
"1951","73569_2012-13",8,40,48,0,3,40,3,2
"1952","73585_2012-13",0,0,0,NA,NA,0,0,NA
"1953","73593_2012-13",0,0,0,0,NA,0,0,NA
"1954","73601_2012-13",0,3,3,0,2,0,1,NA
"1955","73619_2012-13",0,2,2,0,0,0,1,NA
"1956","73635_2012-13",10,25,35,1,1,20,8,5
"1957","73643_2012-13",10,34,44,2,3,29,9,1
"1958","73650_2012-13",0,0,0,0,0,0,0,0
"1959","73668_2012-13",0,3,3,0,NA,0,1,NA
"1960","73676_2012-13",0,15,15,0,0,14,0,1
"1961","73684_2012-13",0,0,0,NA,NA,0,0,NA
"1962","73692_2012-13",0,0,0,NA,NA,0,0,NA
"1963","73700_2012-13",0,0,0,0,0,0,0,0
"1964","73726_2012-13",0,0,0,0,0,0,0,NA
"1965","73742_2012-13",8,18,26,0,0,7,16,3
"1966","73759_2012-13",1,13,14,1,1,6,6,NA
"1967","73783_2012-13",0,3,3,NA,0,0,2,NA
"1968","73791_2012-13",7,29,36,0,1,24,11,0
"1969","73809_2012-13",0,3,3,NA,0,3,0,NA
"1970","73825_2012-13",1,10,11,0,0,11,0,NA
"1971","73833_2012-13",0,0,0,NA,0,NA,0,NA
"1972","73858_2012-13",0,0,0,0,NA,0,0,0
"1973","73866_2012-13",0,0,0,NA,NA,0,0,NA
"1974","73874_2012-13",0,0,0,0,0,0,0,NA
"1975","73882_2012-13",4,24,28,0,3,13,10,2
"1976","73890_2012-13",0,0,0,0,0,0,0,0
"1977","73908_2012-13",0,1,1,NA,0,1,0,NA
"1978","73916_2012-13",0,0,0,NA,NA,0,0,NA
"1979","73924_2012-13",0,2,2,0,0,0,2,0
"1980","73932_2012-13",3,24,27,1,NA,26,0,NA
"1981","73940_2012-13",0,0,0,0,0,0,0,NA
"1982","73957_2012-13",6,38,44,0,4,25,12,3
"1983","73965_2012-13",12,33,45,0,15,23,4,3
"1984","73973_2012-13",0,1,1,0,0,1,0,0
"1985","73981_2012-13",3,6,9,0,0,1,7,1
"1986","73999_2012-13",0,1,1,0,0,0,0,NA
"1987","75002_2012-13",0,0,0,0,0,0,0,NA
"1988","75010_2012-13",0,0,0,0,0,0,0,NA
"1989","75028_2012-13",0,3,3,NA,NA,0,2,NA
"1990","75036_2012-13",0,0,0,NA,NA,0,0,NA
"1991","75044_2012-13",16,39,55,0,16,32,7,0
"1992","75051_2012-13",0,0,0,0,0,0,0,0
"1993","75069_2012-13",4,6,10,0,2,7,1,0
"1994","75077_2012-13",18,46,64,1,16,30,16,1
"1995","75085_2012-13",4,6,10,0,1,4,5,0
"1996","75093_2012-13",0,0,0,0,0,0,0,0
"1997","75101_2012-13",0,4,4,0,0,0,4,NA
"1998","75119_2012-13",0,0,0,0,NA,0,0,NA
"1999","75127_2012-13",0,16,16,NA,NA,14,0,NA
"2000","75150_2012-13",0,0,0,NA,NA,0,0,NA
"2001","75168_2012-13",0,0,0,0,NA,0,0,NA
"2002","75176_2012-13",7,31,38,1,3,16,13,5
"2003","75184_2012-13",0,0,0,NA,NA,0,0,NA
"2004","75192_2012-13",17,79,96,2,6,55,21,12
"2005","75200_2012-13",6,14,20,1,1,11,7,NA
"2006","75218_2012-13",0,0,0,0,NA,NA,0,NA
"2007","75234_2012-13",1,4,5,0,NA,5,NA,NA
"2008","75242_2012-13",0,1,1,0,0,1,0,0
"2009","75259_2012-13",0,1,1,0,NA,0,1,NA
"2010","75267_2012-13",1,7,8,0,0,2,4,2
"2011","75275_2012-13",0,0,0,0,0,0,0,NA
"2012","75283_2012-13",9,27,36,2,20,7,1,6
"2013","75291_2012-13",0,2,2,1,0,1,0,0
"2014","75309_2012-13",0,0,0,0,0,0,0,NA
"2015","75317_2012-13",2,3,5,NA,0,5,0,NA
"2016","75325_2012-13",4,1,5,0,NA,5,0,NA
"2017","75333_2012-13",0,0,0,0,0,0,0,NA
"2018","75341_2012-13",1,4,5,1,0,0,3,1
"2019","75358_2012-13",2,7,9,0,1,6,2,0
"2020","75366_2012-13",0,6,6,0,0,5,1,NA
"2021","75374_2012-13",0,0,0,NA,NA,0,0,NA
"2022","75382_2012-13",0,0,0,0,NA,0,0,NA
"2023","75390_2012-13",1,8,9,1,0,5,3,NA
"2024","75408_2012-13",2,6,8,0,0,5,3,NA
"2025","75416_2012-13",0,0,0,NA,NA,0,0,NA
"2026","75432_2012-13",0,2,2,0,NA,0,2,NA
"2027","75440_2012-13",0,8,8,0,0,8,0,NA
"2028","75457_2012-13",1,5,6,0,0,2,2,2
"2029","75465_2012-13",0,1,1,NA,NA,0,1,NA
"2030","75473_2012-13",0,2,2,NA,0,2,0,NA
"2031","75481_2012-13",0,4,4,0,0,2,2,NA
"2032","75499_2012-13",7,49,56,1,6,33,11,NA
"2033","75507_2012-13",2,5,7,0,0,4,3,NA
"2034","75515_2012-13",0,0,0,0,0,0,0,0
"2035","75523_2012-13",6,33,39,0,0,32,6,1
"2036","75531_2012-13",0,5,5,0,0,5,0,NA
"2037","75549_2012-13",1,7,8,0,NA,4,4,NA
"2038","75556_2012-13",0,5,5,0,0,4,1,NA
"2039","75564_2012-13",4,11,15,0,0,8,7,NA
"2040","75572_2012-13",3,2,5,0,0,3,2,0
"2041","75580_2012-13",0,0,0,0,0,0,0,NA
"2042","75598_2012-13",1,6,7,0,NA,4,3,NA
"2043","75606_2012-13",0,0,0,NA,NA,0,0,NA
"2044","75614_2012-13",3,6,9,1,0,4,2,NA
"2045","75630_2012-13",0,2,2,NA,1,0,1,NA
"2046","75663_2012-13",0,0,0,0,0,0,0,NA
"2047","75697_2012-13",0,0,0,NA,0,0,0,NA
"2048","75713_2012-13",3,25,28,5,0,23,0,0
"2049","75739_2012-13",16,35,51,1,7,23,18,2
"2050","76372_2012-13",0,0,0,0,0,0,0,NA
"2051","76414_2012-13",0,6,6,1,1,2,0,NA
"2052","76455_2012-13",0,1,1,NA,NA,0,0,NA
"2053","76471_2012-13",0,0,0,0,0,0,0,NA
"2054","76489_2012-13",0,1,1,0,0,1,0,NA
"2055","76497_2012-13",0,1,1,0,0,1,0,0
"2056","76505_2012-13",3,9,12,0,2,6,2,2
"2057","76513_2012-13",0,0,0,NA,NA,0,0,NA
"2058","76521_2012-13",0,0,0,0,0,0,NA,NA
"2059","76547_2012-13",0,1,1,0,1,0,0,NA
"2060","76562_2012-13",0,1,1,0,NA,1,0,NA
"2061","76570_2012-13",0,0,0,0,NA,0,0,NA
"2062","76588_2012-13",1,4,5,0,0,4,0,NA
