"","dist_year","Expulsion_Female","Expulsion_Male","Expulsion_Total","Expulsion_Asian","Expulsion_Black","Expulsion_Hispanic","Expulsion_White","Expulsion_Other"
"111","61762_2011-12",0,1,1,0,0,0,1,NA
"112","61770_2011-12",0,0,0,0,0,0,0,NA
"113","61788_2011-12",2,10,12,0,3,8,1,0
"114","61796_2011-12",10,51,61,2,30,22,3,4
"115","61804_2011-12",0,13,13,0,2,5,4,2
"116","61812_2011-12",0,0,0,0,0,0,0,0
"117","61820_2011-12",0,1,1,0,0,0,0,NA
"118","61838_2011-12",0,0,0,0,0,0,0,0
"119","61846_2011-12",0,0,0,NA,NA,0,0,NA
"120","61853_2011-12",9,42,51,0,0,14,35,2
"121","61879_2011-12",0,0,0,0,0,0,0,NA
"122","61887_2011-12",0,0,0,NA,NA,0,0,NA
"123","61895_2011-12",0,NA,0,0,0,0,0,0
"124","61903_2011-12",0,2,2,0,0,1,1,NA
"125","61911_2011-12",0,1,1,NA,0,0,1,NA
"126","61929_2011-12",0,0,0,NA,0,0,0,NA
"127","61945_2011-12",0,2,2,NA,NA,0,1,NA
"128","61952_2011-12",0,0,0,NA,NA,0,0,NA
"129","61960_2011-12",0,0,0,NA,NA,0,0,NA
"130","61978_2011-12",0,5,5,0,0,1,3,NA
"131","61986_2011-12",NA,NA,0,0,0,NA,0,NA
"132","61994_2011-12",0,0,0,NA,NA,0,0,NA
"133","62026_2011-12",0,0,0,0,0,0,0,NA
"134","62042_2011-12",0,0,0,NA,0,0,NA,NA
"135","62109_2011-12",0,0,0,0,NA,0,0,NA
"136","62117_2011-12",14,64,78,8,3,42,22,3
"137","62125_2011-12",0,3,3,0,0,3,0,NA
"138","62158_2011-12",0,3,3,0,0,3,0,NA
"139","62166_2011-12",90,360,450,31,126,246,41,6
"140","62240_2011-12",2,13,15,0,0,11,4,NA
"141","62257_2011-12",0,0,0,0,NA,0,0,NA
"142","62265_2011-12",0,0,0,0,0,0,0,NA
"143","62281_2011-12",4,4,8,0,NA,6,NA,2
"144","62323_2011-12",0,0,0,0,NA,0,0,NA
"145","62331_2011-12",0,0,0,0,NA,0,0,0
"146","62356_2011-12",0,0,0,0,NA,0,0,NA
"147","62364_2011-12",0,2,2,0,NA,2,0,NA
"148","62372_2011-12",0,0,0,0,0,NA,0,NA
"149","62380_2011-12",0,0,0,0,0,0,0,NA
"150","62414_2011-12",6,44,50,3,0,40,7,0
"151","62430_2011-12",3,30,33,0,0,31,2,NA
"152","62513_2011-12",1,0,1,NA,NA,1,0,NA
"153","62539_2011-12",0,0,0,0,0,0,0,NA
"154","62547_2011-12",0,0,0,0,0,0,0,NA
"155","62554_2011-12",0,0,0,NA,0,0,0,NA
"156","62596_2011-12",0,0,0,NA,0,0,0,NA
"157","62638_2011-12",0,0,0,NA,0,0,0,NA
"158","62646_2011-12",0,0,0,NA,0,0,0,NA
"159","62653_2011-12",0,0,0,0,NA,NA,0,NA
"160","62661_2011-12",0,0,0,0,0,0,0,NA
"161","62679_2011-12",0,0,0,0,0,0,0,NA
"162","62687_2011-12",0,0,0,0,0,0,0,NA
"163","62695_2011-12",0,0,0,0,0,NA,0,NA
"164","62703_2011-12",0,0,0,NA,NA,0,0,NA
"165","62729_2011-12",0,0,0,NA,0,NA,0,NA
"166","62737_2011-12",0,0,0,0,0,NA,0,NA
"167","62745_2011-12",0,0,0,0,NA,0,0,NA
"168","62794_2011-12",0,0,0,NA,NA,0,0,NA
"169","62802_2011-12",0,0,0,NA,NA,0,0,NA
"170","62810_2011-12",0,4,4,0,2,1,1,NA
"171","62828_2011-12",0,0,0,NA,0,0,0,0
"172","62836_2011-12",0,0,0,NA,0,NA,0,NA
"173","62851_2011-12",NA,NA,0,NA,0,0,NA,NA
"174","62885_2011-12",0,0,0,NA,0,NA,0,NA
"175","62893_2011-12",0,0,0,0,0,0,0,NA
"176","62901_2011-12",0,0,0,NA,NA,0,0,NA
"177","62919_2011-12",0,0,0,NA,0,0,0,0
"178","62927_2011-12",0,1,1,NA,NA,0,1,NA
"179","62935_2011-12",0,NA,0,0,NA,0,0,NA
"180","62950_2011-12",0,0,0,NA,0,0,0,NA
"181","62968_2011-12",0,NA,0,0,0,NA,0,NA
"182","62976_2011-12",0,1,1,NA,NA,0,1,0
"183","62984_2011-12",0,0,0,0,NA,0,0,NA
"184","63008_2011-12",0,3,3,NA,0,0,2,NA
"185","63016_2011-12",0,0,0,NA,NA,0,0,NA
"186","63024_2011-12",0,0,0,NA,NA,0,0,NA
"187","63032_2011-12",0,0,0,0,NA,0,0,NA
"188","63040_2011-12",0,0,0,0,NA,0,0,NA
"189","63057_2011-12",0,0,0,NA,NA,0,0,NA
"190","63073_2011-12",0,0,0,0,0,0,0,NA
"191","63081_2011-12",5,5,10,0,1,9,0,NA
"192","63099_2011-12",1,3,4,0,NA,4,0,NA
"193","63107_2011-12",2,6,8,NA,0,8,0,NA
"194","63115_2011-12",0,8,8,0,1,7,0,NA
"195","63123_2011-12",0,3,3,0,0,3,0,NA
"196","63131_2011-12",0,0,0,0,NA,0,NA,NA
"197","63149_2011-12",0,2,2,NA,NA,2,0,NA
