"","dist_year","Expulsion_Females","Expulsion_Males","Expulsion_Other","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic"
"116","10330_2013-14","0","0",0,"0","0","0","0"
"117","10330_2014-15","0","0",0,"0","0","0","0"
"118","10330_2015-16","0","0",0,"0","0","0","0"
"119","10330_2016-17","0","2",0,"0","1","1","0"
"120","10348_2011-12","0","0",0,"0","0","0","0"
"121","10348_2012-13","0","0",0,"0","0","0","0"
"122","10348_2013-14","0","0",0,"0","0","0","0"
"123","10348_2014-15","0","0",0,"0","0","0","0"
"124","10348_2015-16","0","1",0,"0","1","0","0"
"125","10348_2016-17","0","1",0,"0","0","0","1"
"126","10363_2011-12","0","0",0,"0","0","0","0"
"127","10363_2012-13","0","0",0,"0","0","0","0"
"128","10363_2013-14","1","0",0,"0","1","0","0"
"129","10363_2014-15","0","0",0,"0","0","0","0"
"130","10363_2015-16","0","0",0,"0","0","0","0"
"131","10363_2016-17","0","1",0,"0","0","1","0"
"132","10371_2011-12","0","0",0,"0","0","0","0"
"133","10371_2012-13","0","0",0,"0","0","0","0"
"134","10371_2013-14","0","0",0,"0","0","0","0"
"135","10371_2014-15","0","0",0,"0","0","0","0"
"136","10371_2015-16","0","0",0,"0","0","0","0"
"137","10371_2016-17","0","1",0,"0","0","0","1"
"138","10389_2011-12","0","0",0,"0","0","0","0"
"139","10389_2012-13","1","0",0,"1","0","0","0"
"140","10389_2013-14","0","0",0,"0","0","0","0"
"141","10389_2014-15","0","0",0,"0","0","0","0"
"142","10389_2015-16","0","0",0,"0","0","0","0"
"143","10389_2016-17","0","0",0,"0","0","0","0"
"144","10397_2011-12","0","0",0,"0","0","0","0"
"145","10397_2012-13","0","0",0,"0","0","0","0"
"146","10397_2013-14","0","3",0,"2","1","0","0"
"147","10397_2014-15","0","6",0,"3","3","0","0"
"148","10397_2015-16","2","1",1,"0","0","0","2"
"149","10397_2016-17","0","1",0,"1","0","0","0"
"150","10405_2011-12","0","0",0,"*","0","0","0"
"151","10405_2012-13","0","0",0,"*","0","0","0"
"152","10405_2013-14","0","0",0,"*","0","0","0"
"153","10405_2014-15","0","0",0,"*","0","0","0"
"154","10405_2016-17","0","0",0,"*","0","0","0"
"155","10413_2011-12","0","0",0,"0","0","0","0"
"156","10413_2012-13","0","0",0,"0","0","0","0"
"157","10413_2013-14","0","0",0,"0","0","0","0"
"158","10413_2014-15","0","0",0,"0","0","0","0"
"159","10413_2016-17","0","0",0,"0","0","0","0"
"160","10421_2011-12","0","0",0,"*","0","0","0"
"161","10421_2012-13","0","0",0,"*","0","0","0"
"162","10421_2013-14","0","0",0,"*","0","0","0"
"163","10439_2011-12","2","1",0,"0","0","0","3"
"164","10439_2012-13","6","7",0,"0","1","2","10"
"165","10439_2013-14","1","2",0,"0","0","0","3"
"166","10439_2014-15","0","0",0,"0","0","0","0"
