"","dist_year","Expulsion_Females","Expulsion_Males","Expulsion_Other","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic"
"10121","32276_2011-12","0","0",0,"*","0","*","0"
"10122","32276_2011-12","0","0",0,"*","0","0","0"
"10123","32276_2011-12","0","0",0,"*","0","0","0"
"10124","32276_2011-12","0","0",0,"*","0","0","0"
"10125","32276_2011-12","0","0",0,"*","0","0","0"
"10126","32276_2011-12","0","0",0,"*","0","0","0"
"10127","32276_2011-12","0","0",0,"*","0","0","0"
"10128","32276_2011-12","0","0",0,"*","0","0","0"
"10129","32276_2011-12","0","0",0,"*","0","0","0"
"10130","32276_2011-12","0","0",0,"*","0","*","0"
"10131","32276_2011-12","0","0",0,"*","0","*","0"
"10132","32276_2011-12","0","0",0,"*","0","*","0"
"10133","32276_2011-12","0","0",0,"*","0","*","0"
"10134","32276_2011-12","0","0",0,"*","0","*","0"
"10135","32276_2011-12","0","0",0,"*","0","*","0"
"10136","32276_2011-12","0","0",0,"*","0","*","0"
"10137","32276_2011-12","0","0",0,"*","0","*","0"
"10138","32276_2011-12","0","0",0,"*","0","0","0"
"10139","32276_2011-12","0","0",0,"*","0","0","0"
"10140","32276_2011-12","0","0",0,"*","0","0","0"
"10141","32276_2011-12","0","0",0,"*","0","0","0"
"10142","32276_2011-12","0","0",0,"*","0","0","0"
"10143","32276_2011-12","0","0",0,"*","0","0","0"
"10144","32276_2011-12","0","0",0,"*","0","0","0"
"10145","32276_2011-12","0","0",0,"*","0","0","0"
"10146","32276_2011-12","0","0",0,"0","0","*","0"
"10147","32276_2011-12","0","0",0,"0","0","*","0"
"10148","32276_2011-12","0","0",0,"0","0","*","0"
"10149","32276_2011-12","0","0",0,"0","0","*","0"
"10150","32276_2011-12","0","0",0,"0","0","*","0"
"10151","32276_2011-12","0","0",0,"0","0","*","0"
"10152","32276_2011-12","0","0",0,"0","0","*","0"
"10153","32276_2011-12","0","0",0,"0","0","*","0"
"10154","32276_2011-12","0","0",0,"0","0","0","0"
"10155","32276_2011-12","0","0",0,"0","0","0","0"
"10156","32276_2011-12","0","0",0,"0","0","0","0"
"10157","32276_2011-12","0","0",0,"0","0","0","0"
"10158","32276_2011-12","0","0",0,"0","0","0","0"
"10159","32276_2011-12","0","0",0,"0","0","0","0"
"10160","32276_2011-12","0","0",0,"0","0","0","0"
"10161","32276_2011-12","0","0",0,"0","0","0","0"
"10162","32276_2011-12","0","0",0,"0","0","*","0"
"10163","32276_2011-12","0","0",0,"0","0","*","0"
"10164","32276_2011-12","0","0",0,"0","0","*","0"
"10165","32276_2011-12","0","0",0,"0","0","*","0"
"10166","32276_2011-12","0","0",0,"0","0","*","0"
"10167","32276_2011-12","0","0",0,"0","0","*","0"
"10168","32276_2011-12","0","0",0,"0","0","*","0"
"10169","32276_2011-12","0","0",0,"0","0","*","0"
"10170","32276_2011-12","0","0",0,"0","0","0","0"
"10171","32276_2011-12","0","0",0,"0","0","0","0"
"10172","32276_2011-12","0","0",0,"0","0","0","0"
"10173","32276_2011-12","0","0",0,"0","0","0","0"
"10174","32276_2011-12","0","0",0,"0","0","0","0"
"10175","32276_2011-12","0","0",0,"0","0","0","0"
"10176","32276_2011-12","0","0",0,"0","0","0","0"
"10177","32276_2011-12","0","0",0,"0","0","0","0"
"10178","32276_2011-12","0","0",0,"0","0","*","0"
"10179","32276_2011-12","0","0",0,"0","0","*","0"
"10180","32276_2011-12","0","0",0,"0","0","*","0"
"10181","32276_2011-12","0","0",0,"0","0","*","0"
"10182","32276_2011-12","0","0",0,"0","0","*","0"
"10183","32276_2011-12","0","0",0,"0","0","*","0"
"10184","32276_2011-12","0","0",0,"0","0","*","0"
"10185","32276_2011-12","0","0",0,"0","0","*","0"
"10186","32276_2011-12","0","0",0,"0","0","0","0"
"10187","32276_2011-12","0","0",0,"0","0","0","0"
"10188","32276_2011-12","0","0",0,"0","0","0","0"
"10189","32276_2011-12","0","0",0,"0","0","0","0"
"10190","32276_2011-12","0","0",0,"0","0","0","0"
"10191","32276_2011-12","0","0",0,"0","0","0","0"
"10192","32276_2011-12","0","0",0,"0","0","0","0"
"10193","32276_2011-12","0","0",0,"0","0","0","0"
"10194","32276_2011-12","0","0",0,"0","0","*","0"
"10195","32276_2011-12","0","0",0,"0","0","*","0"
"10196","32276_2011-12","0","0",0,"0","0","*","0"
"10197","32276_2011-12","0","0",0,"0","0","*","0"
"10198","32276_2011-12","0","0",0,"0","0","*","0"
"10199","32276_2011-12","0","0",0,"0","0","*","0"
"10200","32276_2011-12","0","0",0,"0","0","*","0"
"10201","32276_2011-12","0","0",0,"0","0","*","0"
"10202","32276_2011-12","0","0",0,"0","0","0","0"
"10203","32276_2011-12","0","0",0,"0","0","0","0"
"10204","32276_2011-12","0","0",0,"0","0","0","0"
"10205","32276_2011-12","0","0",0,"0","0","0","0"
"10206","32276_2011-12","0","0",0,"0","0","0","0"
"10207","32276_2011-12","0","0",0,"0","0","0","0"
"10208","32276_2011-12","0","0",0,"0","0","0","0"
"10209","32276_2011-12","0","0",0,"0","0","0","0"
"10210","32276_2011-12","0","0",0,"*","0","*","0"
"10211","32276_2011-12","0","0",0,"*","0","*","0"
"10212","32276_2011-12","0","0",0,"*","0","*","0"
"10213","32276_2011-12","0","0",0,"*","0","*","0"
"10214","32276_2011-12","0","0",0,"*","0","*","0"
"10215","32276_2011-12","0","0",0,"*","0","*","0"
"10216","32276_2011-12","0","0",0,"*","0","*","0"
"10217","32276_2011-12","0","0",0,"*","0","*","0"
"10218","32276_2011-12","0","0",0,"*","0","0","0"
"10219","32276_2011-12","0","0",0,"*","0","0","0"
"10220","32276_2011-12","0","0",0,"*","0","0","0"
"10221","32276_2011-12","0","0",0,"*","0","0","0"
"10222","32276_2011-12","0","0",0,"*","0","0","0"
"10223","32276_2011-12","0","0",0,"*","0","0","0"
"10224","32276_2011-12","0","0",0,"*","0","0","0"
"10225","32276_2011-12","0","0",0,"*","0","0","0"
"10226","32276_2011-12","0","0",0,"*","0","*","0"
"10227","32276_2011-12","0","0",0,"*","0","*","0"
"10228","32276_2011-12","0","0",0,"*","0","*","0"
"10229","32276_2011-12","0","0",0,"*","0","*","0"
"10230","32276_2011-12","0","0",0,"*","0","*","0"
"10231","32276_2011-12","0","0",0,"*","0","*","0"
"10232","32276_2011-12","0","0",0,"*","0","*","0"
"10233","32276_2011-12","0","0",0,"*","0","*","0"
"10234","32276_2011-12","0","0",0,"*","0","0","0"
"10235","32276_2011-12","0","0",0,"*","0","0","0"
"10236","32276_2011-12","0","0",0,"*","0","0","0"
"10237","32276_2011-12","0","0",0,"*","0","0","0"
"10238","32276_2011-12","0","0",0,"*","0","0","0"
"10239","32276_2011-12","0","0",0,"*","0","0","0"
"10240","32276_2011-12","0","0",0,"*","0","0","0"
"10241","32276_2011-12","0","0",0,"*","0","0","0"
"10242","32276_2011-12","0","0",0,"*","0","*","0"
"10243","32276_2011-12","0","0",0,"*","0","*","0"
"10244","32276_2011-12","0","0",0,"*","0","*","0"
"10245","32276_2011-12","0","0",0,"*","0","*","0"
"10246","32276_2011-12","0","0",0,"*","0","*","0"
"10247","32276_2011-12","0","0",0,"*","0","*","0"
"10248","32276_2011-12","0","0",0,"*","0","*","0"
"10249","32276_2011-12","0","0",0,"*","0","*","0"
"10250","32276_2011-12","0","0",0,"*","0","0","0"
"10251","32276_2011-12","0","0",0,"*","0","0","0"
"10252","32276_2011-12","0","0",0,"*","0","0","0"
"10253","32276_2011-12","0","0",0,"*","0","0","0"
"10254","32276_2011-12","0","0",0,"*","0","0","0"
"10255","32276_2011-12","0","0",0,"*","0","0","0"
"10256","32276_2011-12","0","0",0,"*","0","0","0"
"10257","32276_2011-12","0","0",0,"*","0","0","0"
"10258","32276_2011-12","0","0",0,"*","0","*","0"
"10259","32276_2011-12","0","0",0,"*","0","*","0"
"10260","32276_2011-12","0","0",0,"*","0","*","0"
"10261","32276_2011-12","0","0",0,"*","0","*","0"
"10262","32276_2011-12","0","0",0,"*","0","*","0"
"10263","32276_2011-12","0","0",0,"*","0","*","0"
"10264","32276_2011-12","0","0",0,"*","0","*","0"
"10265","32276_2011-12","0","0",0,"*","0","*","0"
"10266","32276_2011-12","0","0",0,"*","0","0","0"
"10267","32276_2011-12","0","0",0,"*","0","0","0"
"10268","32276_2011-12","0","0",0,"*","0","0","0"
"10269","32276_2011-12","0","0",0,"*","0","0","0"
"10270","32276_2011-12","0","0",0,"*","0","0","0"
"10271","32276_2011-12","0","0",0,"*","0","0","0"
"10272","32276_2011-12","0","0",0,"*","0","0","0"
"10273","32276_2011-12","0","0",0,"*","0","0","0"
"10274","32276_2011-12","0","0",0,"*","0","*","0"
"10275","32276_2011-12","0","0",0,"*","0","*","0"
"10276","32276_2011-12","0","0",0,"*","0","*","0"
"10277","32276_2011-12","0","0",0,"*","0","*","0"
"10278","32276_2011-12","0","0",0,"*","0","*","0"
"10279","32276_2011-12","0","0",0,"*","0","*","0"
"10280","32276_2011-12","0","0",0,"*","0","*","0"
"10281","32276_2011-12","0","0",0,"*","0","*","0"
"10282","32276_2011-12","0","0",0,"*","0","0","0"
"10283","32276_2011-12","0","0",0,"*","0","0","0"
"10284","32276_2011-12","0","0",0,"*","0","0","0"
"10285","32276_2011-12","0","0",0,"*","0","0","0"
"10286","32276_2011-12","0","0",0,"*","0","0","0"
"10287","32276_2011-12","0","0",0,"*","0","0","0"
"10288","32276_2011-12","0","0",0,"*","0","0","0"
"10289","32276_2011-12","0","0",0,"*","0","0","0"
"10290","32276_2011-12","0","0",0,"*","0","*","0"
"10291","32276_2011-12","0","0",0,"*","0","*","0"
"10292","32276_2011-12","0","0",0,"*","0","*","0"
"10293","32276_2011-12","0","0",0,"*","0","*","0"
"10294","32276_2011-12","0","0",0,"*","0","*","0"
"10295","32276_2011-12","0","0",0,"*","0","*","0"
"10296","32276_2011-12","0","0",0,"*","0","*","0"
"10297","32276_2011-12","0","0",0,"*","0","*","0"
"10298","32276_2011-12","0","0",0,"*","0","0","0"
"10299","32276_2011-12","0","0",0,"*","0","0","0"
"10300","32276_2011-12","0","0",0,"*","0","0","0"
"10301","32276_2011-12","0","0",0,"*","0","0","0"
"10302","32276_2011-12","0","0",0,"*","0","0","0"
"10303","32276_2011-12","0","0",0,"*","0","0","0"
"10304","32276_2011-12","0","0",0,"*","0","0","0"
"10305","32276_2011-12","0","0",0,"*","0","0","0"
"10306","32276_2011-12","0","0",0,"*","0","*","0"
"10307","32276_2011-12","0","0",0,"*","0","*","0"
"10308","32276_2011-12","0","0",0,"*","0","*","0"
"10309","32276_2011-12","0","0",0,"*","0","*","0"
"10310","32276_2011-12","0","0",0,"*","0","*","0"
"10311","32276_2011-12","0","0",0,"*","0","*","0"
"10312","32276_2011-12","0","0",0,"*","0","*","0"
"10313","32276_2011-12","0","0",0,"*","0","*","0"
"10314","32276_2011-12","0","0",0,"*","0","0","0"
"10315","32276_2011-12","0","0",0,"*","0","0","0"
"10316","32276_2011-12","0","0",0,"*","0","0","0"
"10317","32276_2011-12","0","0",0,"*","0","0","0"
"10318","32276_2011-12","0","0",0,"*","0","0","0"
"10319","32276_2011-12","0","0",0,"*","0","0","0"
"10320","32276_2011-12","0","0",0,"*","0","0","0"
"10321","32276_2011-12","0","0",0,"*","0","0","0"
"10322","32276_2011-12","0","0",0,"*","0","*","0"
"10323","32276_2011-12","0","0",0,"*","0","*","0"
"10324","32276_2011-12","0","0",0,"*","0","*","0"
"10325","32276_2011-12","0","0",0,"*","0","*","0"
"10326","32276_2011-12","0","0",0,"*","0","*","0"
"10327","32276_2011-12","0","0",0,"*","0","*","0"
"10328","32276_2011-12","0","0",0,"*","0","*","0"
"10329","32276_2011-12","0","0",0,"*","0","*","0"
"10330","32276_2011-12","0","0",0,"*","0","0","0"
"10331","32276_2011-12","0","0",0,"*","0","0","0"
"10332","32276_2011-12","0","0",0,"*","0","0","0"
"10333","32276_2011-12","0","0",0,"*","0","0","0"
"10334","32276_2011-12","0","0",0,"*","0","0","0"
"10335","32276_2011-12","0","0",0,"*","0","0","0"
"10336","32276_2011-12","0","0",0,"*","0","0","0"
"10337","32276_2011-12","0","0",0,"*","0","0","0"
"10338","32276_2011-12","0","0",0,"*","0","*","0"
"10339","32276_2011-12","0","0",0,"*","0","*","0"
"10340","32276_2011-12","0","0",0,"*","0","*","0"
"10341","32276_2011-12","0","0",0,"*","0","*","0"
"10342","32276_2011-12","0","0",0,"*","0","*","0"
"10343","32276_2011-12","0","0",0,"*","0","*","0"
"10344","32276_2011-12","0","0",0,"*","0","*","0"
"10345","32276_2011-12","0","0",0,"*","0","*","0"
"10346","32276_2011-12","0","0",0,"*","0","0","0"
"10347","32276_2011-12","0","0",0,"*","0","0","0"
"10348","32276_2011-12","0","0",0,"*","0","0","0"
"10349","32276_2011-12","0","0",0,"*","0","0","0"
"10350","32276_2011-12","0","0",0,"*","0","0","0"
"10351","32276_2011-12","0","0",0,"*","0","0","0"
"10352","32276_2011-12","0","0",0,"*","0","0","0"
"10353","32276_2011-12","0","0",0,"*","0","0","0"
"10354","32276_2011-12","0","0",0,"*","0","*","0"
"10355","32276_2011-12","0","0",0,"*","0","*","0"
"10356","32276_2011-12","0","0",0,"*","0","*","0"
"10357","32276_2011-12","0","0",0,"*","0","*","0"
"10358","32276_2011-12","0","0",0,"*","0","*","0"
"10359","32276_2011-12","0","0",0,"*","0","*","0"
"10360","32276_2011-12","0","0",0,"*","0","*","0"
"10361","32276_2011-12","0","0",0,"*","0","*","0"
"10362","32276_2011-12","0","0",0,"*","0","0","0"
"10363","32276_2011-12","0","0",0,"*","0","0","0"
"10364","32276_2011-12","0","0",0,"*","0","0","0"
"10365","32276_2011-12","0","0",0,"*","0","0","0"
"10366","32276_2011-12","0","0",0,"*","0","0","0"
"10367","32276_2011-12","0","0",0,"*","0","0","0"
"10368","32276_2011-12","0","0",0,"*","0","0","0"
"10369","32276_2011-12","0","0",0,"*","0","0","0"
"10370","32276_2011-12","0","0",0,"*","0","*","0"
"10371","32276_2011-12","0","0",0,"*","0","*","0"
"10372","32276_2011-12","0","0",0,"*","0","*","0"
"10373","32276_2011-12","0","0",0,"*","0","*","0"
"10374","32276_2011-12","0","0",0,"*","0","*","0"
"10375","32276_2011-12","0","0",0,"*","0","*","0"
"10376","32276_2011-12","0","0",0,"*","0","*","0"
"10377","32276_2011-12","0","0",0,"*","0","*","0"
"10378","32276_2011-12","0","0",0,"*","0","0","0"
"10379","32276_2011-12","0","0",0,"*","0","0","0"
"10380","32276_2011-12","0","0",0,"*","0","0","0"
"10381","32276_2011-12","0","0",0,"*","0","0","0"
"10382","32276_2011-12","0","0",0,"*","0","0","0"
"10383","32276_2011-12","0","0",0,"*","0","0","0"
"10384","32276_2011-12","0","0",0,"*","0","0","0"
"10385","32276_2011-12","0","0",0,"*","0","0","0"
"10386","32276_2011-12","0","0",0,"*","0","*","0"
"10387","32276_2011-12","0","0",0,"*","0","*","0"
"10388","32276_2011-12","0","0",0,"*","0","*","0"
"10389","32276_2011-12","0","0",0,"*","0","*","0"
"10390","32276_2011-12","0","0",0,"*","0","*","0"
"10391","32276_2011-12","0","0",0,"*","0","*","0"
"10392","32276_2011-12","0","0",0,"*","0","*","0"
"10393","32276_2011-12","0","0",0,"*","0","*","0"
"10394","32276_2011-12","0","0",0,"*","0","0","0"
"10395","32276_2011-12","0","0",0,"*","0","0","0"
"10396","32276_2011-12","0","0",0,"*","0","0","0"
"10397","32276_2011-12","0","0",0,"*","0","0","0"
"10398","32276_2011-12","0","0",0,"*","0","0","0"
"10399","32276_2011-12","0","0",0,"*","0","0","0"
"10400","32276_2011-12","0","0",0,"*","0","0","0"
"10401","32276_2011-12","0","0",0,"*","0","0","0"
"10402","32276_2011-12","0","0",0,"0","0","*","0"
"10403","32276_2011-12","0","0",0,"0","0","*","0"
"10404","32276_2011-12","0","0",0,"0","0","*","0"
"10405","32276_2011-12","0","0",0,"0","0","*","0"
"10406","32276_2011-12","0","0",0,"0","0","*","0"
"10407","32276_2011-12","0","0",0,"0","0","*","0"
"10408","32276_2011-12","0","0",0,"0","0","*","0"
"10409","32276_2011-12","0","0",0,"0","0","*","0"
"10410","32276_2011-12","0","0",0,"0","0","0","0"
"10411","32276_2011-12","0","0",0,"0","0","0","0"
"10412","32276_2011-12","0","0",0,"0","0","0","0"
"10413","32276_2011-12","0","0",0,"0","0","0","0"
"10414","32276_2011-12","0","0",0,"0","0","0","0"
"10415","32276_2011-12","0","0",0,"0","0","0","0"
"10416","32276_2011-12","0","0",0,"0","0","0","0"
"10417","32276_2011-12","0","0",0,"0","0","0","0"
"10418","32276_2011-12","0","0",0,"0","0","*","0"
"10419","32276_2011-12","0","0",0,"0","0","*","0"
"10420","32276_2011-12","0","0",0,"0","0","*","0"
"10421","32276_2011-12","0","0",0,"0","0","*","0"
"10422","32276_2011-12","0","0",0,"0","0","*","0"
"10423","32276_2011-12","0","0",0,"0","0","*","0"
"10424","32276_2011-12","0","0",0,"0","0","*","0"
"10425","32276_2011-12","0","0",0,"0","0","*","0"
"10426","32276_2011-12","0","0",0,"0","0","0","0"
"10427","32276_2011-12","0","0",0,"0","0","0","0"
"10428","32276_2011-12","0","0",0,"0","0","0","0"
"10429","32276_2011-12","0","0",0,"0","0","0","0"
"10430","32276_2011-12","0","0",0,"0","0","0","0"
"10431","32276_2011-12","0","0",0,"0","0","0","0"
"10432","32276_2011-12","0","0",0,"0","0","0","0"
"10433","32276_2011-12","0","0",0,"0","0","0","0"
"10434","32276_2011-12","0","0",0,"0","0","*","0"
"10435","32276_2011-12","0","0",0,"0","0","*","0"
"10436","32276_2011-12","0","0",0,"0","0","*","0"
"10437","32276_2011-12","0","0",0,"0","0","*","0"
"10438","32276_2011-12","0","0",0,"0","0","*","0"
"10439","32276_2011-12","0","0",0,"0","0","*","0"
"10440","32276_2011-12","0","0",0,"0","0","*","0"
"10441","32276_2011-12","0","0",0,"0","0","*","0"
"10442","32276_2011-12","0","0",0,"0","0","0","0"
"10443","32276_2011-12","0","0",0,"0","0","0","0"
"10444","32276_2011-12","0","0",0,"0","0","0","0"
"10445","32276_2011-12","0","0",0,"0","0","0","0"
"10446","32276_2011-12","0","0",0,"0","0","0","0"
"10447","32276_2011-12","0","0",0,"0","0","0","0"
"10448","32276_2011-12","0","0",0,"0","0","0","0"
"10449","32276_2011-12","0","0",0,"0","0","0","0"
"10450","32276_2011-12","0","0",0,"0","0","*","0"
"10451","32276_2011-12","0","0",0,"0","0","*","0"
"10452","32276_2011-12","0","0",0,"0","0","*","0"
"10453","32276_2011-12","0","0",0,"0","0","*","0"
"10454","32276_2011-12","0","0",0,"0","0","*","0"
"10455","32276_2011-12","0","0",0,"0","0","*","0"
"10456","32276_2011-12","0","0",0,"0","0","*","0"
"10457","32276_2011-12","0","0",0,"0","0","*","0"
"10458","32276_2011-12","0","0",0,"0","0","0","0"
"10459","32276_2011-12","0","0",0,"0","0","0","0"
"10460","32276_2011-12","0","0",0,"0","0","0","0"
"10461","32276_2011-12","0","0",0,"0","0","0","0"
"10462","32276_2011-12","0","0",0,"0","0","0","0"
"10463","32276_2011-12","0","0",0,"0","0","0","0"
"10464","32276_2011-12","0","0",0,"0","0","0","0"
"10465","32276_2011-12","0","0",0,"0","0","0","0"
"10466","32276_2011-12","0","0",0,"0","0","*","0"
"10467","32276_2011-12","0","0",0,"0","0","*","0"
"10468","32276_2011-12","0","0",0,"0","0","*","0"
"10469","32276_2011-12","0","0",0,"0","0","*","0"
"10470","32276_2011-12","0","0",0,"0","0","*","0"
"10471","32276_2011-12","0","0",0,"0","0","*","0"
"10472","32276_2011-12","0","0",0,"0","0","*","0"
"10473","32276_2011-12","0","0",0,"0","0","*","0"
"10474","32276_2011-12","0","0",0,"0","0","0","0"
"10475","32276_2011-12","0","0",0,"0","0","0","0"
"10476","32276_2011-12","0","0",0,"0","0","0","0"
"10477","32276_2011-12","0","0",0,"0","0","0","0"
"10478","32276_2011-12","0","0",0,"0","0","0","0"
"10479","32276_2011-12","0","0",0,"0","0","0","0"
"10480","32276_2011-12","0","0",0,"0","0","0","0"
"10481","32276_2011-12","0","0",0,"0","0","0","0"
"10482","32276_2011-12","0","0",0,"0","0","*","0"
"10483","32276_2011-12","0","0",0,"0","0","*","0"
"10484","32276_2011-12","0","0",0,"0","0","*","0"
"10485","32276_2011-12","0","0",0,"0","0","*","0"
"10486","32276_2011-12","0","0",0,"0","0","*","0"
"10487","32276_2011-12","0","0",0,"0","0","*","0"
"10488","32276_2011-12","0","0",0,"0","0","*","0"
"10489","32276_2011-12","0","0",0,"0","0","*","0"
"10490","32276_2011-12","0","0",0,"0","0","0","0"
"10491","32276_2011-12","0","0",0,"0","0","0","0"
"10492","32276_2011-12","0","0",0,"0","0","0","0"
"10493","32276_2011-12","0","0",0,"0","0","0","0"
"10494","32276_2011-12","0","0",0,"0","0","0","0"
"10495","32276_2011-12","0","0",0,"0","0","0","0"
"10496","32276_2011-12","0","0",0,"0","0","0","0"
"10497","32276_2011-12","0","0",0,"0","0","0","0"
"10498","32276_2011-12","0","0",0,"0","0","*","0"
"10499","32276_2011-12","0","0",0,"0","0","*","0"
"10500","32276_2011-12","0","0",0,"0","0","*","0"
"10501","32276_2011-12","0","0",0,"0","0","*","0"
"10502","32276_2011-12","0","0",0,"0","0","*","0"
"10503","32276_2011-12","0","0",0,"0","0","*","0"
"10504","32276_2011-12","0","0",0,"0","0","*","0"
"10505","32276_2011-12","0","0",0,"0","0","*","0"
"10506","32276_2011-12","0","0",0,"0","0","0","0"
"10507","32276_2011-12","0","0",0,"0","0","0","0"
"10508","32276_2011-12","0","0",0,"0","0","0","0"
"10509","32276_2011-12","0","0",0,"0","0","0","0"
"10510","32276_2011-12","0","0",0,"0","0","0","0"
"10511","32276_2011-12","0","0",0,"0","0","0","0"
"10512","32276_2011-12","0","0",0,"0","0","0","0"
"10513","32276_2011-12","0","0",0,"0","0","0","0"
"10514","32276_2011-12","0","0",0,"0","0","*","0"
"10515","32276_2011-12","0","0",0,"0","0","*","0"
"10516","32276_2011-12","0","0",0,"0","0","*","0"
"10517","32276_2011-12","0","0",0,"0","0","*","0"
"10518","32276_2011-12","0","0",0,"0","0","*","0"
"10519","32276_2011-12","0","0",0,"0","0","*","0"
"10520","32276_2011-12","0","0",0,"0","0","*","0"
"10521","32276_2011-12","0","0",0,"0","0","*","0"
"10522","32276_2011-12","0","0",0,"0","0","0","0"
"10523","32276_2011-12","0","0",0,"0","0","0","0"
"10524","32276_2011-12","0","0",0,"0","0","0","0"
"10525","32276_2011-12","0","0",0,"0","0","0","0"
"10526","32276_2011-12","0","0",0,"0","0","0","0"
"10527","32276_2011-12","0","0",0,"0","0","0","0"
"10528","32276_2011-12","0","0",0,"0","0","0","0"
"10529","32276_2011-12","0","0",0,"0","0","0","0"
"10530","32276_2011-12","0","0",0,"*","0","*","0"
"10531","32276_2011-12","0","0",0,"*","0","*","0"
"10532","32276_2011-12","0","0",0,"*","0","*","0"
"10533","32276_2011-12","0","0",0,"*","0","*","0"
"10534","32276_2011-12","0","0",0,"*","0","*","0"
"10535","32276_2011-12","0","0",0,"*","0","*","0"
"10536","32276_2011-12","0","0",0,"*","0","*","0"
"10537","32276_2011-12","0","0",0,"*","0","*","0"
"10538","32276_2011-12","0","0",0,"*","0","0","0"
"10539","32276_2011-12","0","0",0,"*","0","0","0"
"10540","32276_2011-12","0","0",0,"*","0","0","0"
"10541","32276_2011-12","0","0",0,"*","0","0","0"
"10542","32276_2011-12","0","0",0,"*","0","0","0"
"10543","32276_2011-12","0","0",0,"*","0","0","0"
"10544","32276_2011-12","0","0",0,"*","0","0","0"
"10545","32276_2011-12","0","0",0,"*","0","0","0"
"10546","32276_2011-12","0","0",0,"*","0","*","0"
"10547","32276_2011-12","0","0",0,"*","0","*","0"
"10548","32276_2011-12","0","0",0,"*","0","*","0"
"10549","32276_2011-12","0","0",0,"*","0","*","0"
"10550","32276_2011-12","0","0",0,"*","0","*","0"
"10551","32276_2011-12","0","0",0,"*","0","*","0"
"10552","32276_2011-12","0","0",0,"*","0","*","0"
"10553","32276_2011-12","0","0",0,"*","0","*","0"
"10554","32276_2011-12","0","0",0,"*","0","0","0"
"10555","32276_2011-12","0","0",0,"*","0","0","0"
"10556","32276_2011-12","0","0",0,"*","0","0","0"
"10557","32276_2011-12","0","0",0,"*","0","0","0"
"10558","32276_2011-12","0","0",0,"*","0","0","0"
"10559","32276_2011-12","0","0",0,"*","0","0","0"
"10560","32276_2011-12","0","0",0,"*","0","0","0"
"10561","32276_2011-12","0","0",0,"*","0","0","0"
"10562","32276_2011-12","0","0",0,"*","0","*","0"
"10563","32276_2011-12","0","0",0,"*","0","*","0"
"10564","32276_2011-12","0","0",0,"*","0","*","0"
"10565","32276_2011-12","0","0",0,"*","0","*","0"
"10566","32276_2011-12","0","0",0,"*","0","*","0"
"10567","32276_2011-12","0","0",0,"*","0","*","0"
"10568","32276_2011-12","0","0",0,"*","0","*","0"
"10569","32276_2011-12","0","0",0,"*","0","*","0"
"10570","32276_2011-12","0","0",0,"*","0","0","0"
"10571","32276_2011-12","0","0",0,"*","0","0","0"
"10572","32276_2011-12","0","0",0,"*","0","0","0"
"10573","32276_2011-12","0","0",0,"*","0","0","0"
"10574","32276_2011-12","0","0",0,"*","0","0","0"
"10575","32276_2011-12","0","0",0,"*","0","0","0"
"10576","32276_2011-12","0","0",0,"*","0","0","0"
"10577","32276_2011-12","0","0",0,"*","0","0","0"
"10578","32276_2011-12","0","0",0,"*","0","*","0"
"10579","32276_2011-12","0","0",0,"*","0","*","0"
"10580","32276_2011-12","0","0",0,"*","0","*","0"
"10581","32276_2011-12","0","0",0,"*","0","*","0"
"10582","32276_2011-12","0","0",0,"*","0","*","0"
"10583","32276_2011-12","0","0",0,"*","0","*","0"
"10584","32276_2011-12","0","0",0,"*","0","*","0"
"10585","32276_2011-12","0","0",0,"*","0","*","0"
"10586","32276_2011-12","0","0",0,"*","0","0","0"
"10587","32276_2011-12","0","0",0,"*","0","0","0"
"10588","32276_2011-12","0","0",0,"*","0","0","0"
"10589","32276_2011-12","0","0",0,"*","0","0","0"
"10590","32276_2011-12","0","0",0,"*","0","0","0"
"10591","32276_2011-12","0","0",0,"*","0","0","0"
"10592","32276_2011-12","0","0",0,"*","0","0","0"
"10593","32276_2011-12","0","0",0,"*","0","0","0"
"10594","32276_2011-12","0","0",0,"*","0","*","0"
"10595","32276_2011-12","0","0",0,"*","0","*","0"
"10596","32276_2011-12","0","0",0,"*","0","*","0"
"10597","32276_2011-12","0","0",0,"*","0","*","0"
"10598","32276_2011-12","0","0",0,"*","0","*","0"
"10599","32276_2011-12","0","0",0,"*","0","*","0"
"10600","32276_2011-12","0","0",0,"*","0","*","0"
"10601","32276_2011-12","0","0",0,"*","0","*","0"
"10602","32276_2011-12","0","0",0,"*","0","0","0"
"10603","32276_2011-12","0","0",0,"*","0","0","0"
"10604","32276_2011-12","0","0",0,"*","0","0","0"
"10605","32276_2011-12","0","0",0,"*","0","0","0"
"10606","32276_2011-12","0","0",0,"*","0","0","0"
"10607","32276_2011-12","0","0",0,"*","0","0","0"
"10608","32276_2011-12","0","0",0,"*","0","0","0"
"10609","32276_2011-12","0","0",0,"*","0","0","0"
"10610","32276_2011-12","0","0",0,"*","0","*","0"
"10611","32276_2011-12","0","0",0,"*","0","*","0"
"10612","32276_2011-12","0","0",0,"*","0","*","0"
"10613","32276_2011-12","0","0",0,"*","0","*","0"
"10614","32276_2011-12","0","0",0,"*","0","*","0"
"10615","32276_2011-12","0","0",0,"*","0","*","0"
"10616","32276_2011-12","0","0",0,"*","0","*","0"
"10617","32276_2011-12","0","0",0,"*","0","*","0"
