"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","do_asian","do_black","do_hisp","do_white","do_other","do_female","do_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","ucCsu_total","do_total","exp_tot","sus_tot","enroll_tot"
"106","73890_2013-14",10,105,238,372,87,368,444,0,1,5,2,2,5,5,1327,4405,1,0,0,0,0,0,0,0,"0","2","1",3,8,0,2,"San Bernardino",149,40,"0","39",57,"81",12,0,10,8,189,812
"107","73890_2014-15",12,103,227,322,89,368,385,0,0,1,1,0,1,1,2043,5272,6,1,5,7,6,4,17,6,"0","0","0",1,1,0,0,"San Bernardino",82,17,"1","18",24,"41",15,23,2,1,99,753
"108","73890_2015-16",16,103,220,299,72,338,372,0,0,1,1,1,1,2,906,4497,5,1,4,6,4,2,9,8,"0","1","0",0,1,0,0,"San Bernardino",58,11,"0","15",19,"26",9,17,3,1,69,710
"109","73890_2016-17",10,107,230,285,105,354,383,0,1,1,1,0,1,2,1550,5451,12,1,2,9,12,2,14,12,"0","1","0",0,1,0,0,"San Bernardino",81,20,"0","20",33,"36",12,26,3,1,101,737
"110","73940_2013-14",193,57,1303,1657,140,1639,1711,0,2,29,21,0,21,31,601,6819,9,17,3,62,199,20,159,142,"0","0","0",0,0,0,0,"Ventura",432,75,"10","11",326,"153",7,301,52,0,507,3350
"111","73940_2014-15",185,57,1329,1523,158,1603,1649,0,0,11,10,1,5,17,1405,6639,17,27,1,49,151,20,141,107,"0","0","0",0,0,0,0,"Ventura",283,60,"6","1",235,"95",6,248,22,0,343,3252
"112","73940_2015-16",185,61,1350,1485,158,1606,1633,1,0,9,6,0,3,13,1054,6266,15,29,2,70,189,22,170,142,"0","0","0",0,0,0,0,"Ventura",192,37,"0","8",150,"51",19,312,16,0,229,3239
"113","73940_2016-17",174,58,1339,1385,170,1579,1547,1,0,13,6,2,4,18,1360,6909,15,24,8,73,168,20,172,121,"0","0","0",0,0,0,0,"Ventura",163,37,"0","4",127,"51",18,293,22,0,200,3126
"114","75200_2013-14",533,768,3872,5593,1242,5864,6144,5,4,35,34,5,29,54,7083,14980,59,57,51,268,480,130,547,439,"0","3","9",5,18,2,3,"Riverside",475,124,"8","79",204,"257",51,986,83,20,599,12008
"115","75200_2014-15",601,707,3914,5498,1243,5842,6121,0,8,12,31,8,28,31,8135,14020,104,95,63,268,474,107,573,434,"0","1","2",2,4,1,0,"Riverside",363,103,"7","45",167,"210",37,1007,59,5,466,11963
"116","75200_2015-16",608,693,4006,5487,1270,5893,6171,3,3,19,27,3,21,34,7786,14625,93,74,67,294,535,125,622,473,"0","1","4",4,8,1,0,"Riverside",459,125,"16","62",195,"239",72,1095,55,9,584,12064
"117","75200_2016-17",645,684,4129,5342,1360,5925,6235,0,2,5,7,0,8,6,8044,13796,110,74,57,336,533,139,642,497,"0","0","3",1,4,0,0,"Riverside",347,84,"5","49",136,"191",50,1139,14,4,431,12160
"118","75440_2013-14",12,6,2044,58,41,1038,1123,1,1,36,1,1,17,23,1834,6707,8,1,0,58,3,4,39,27,"0","0","0",1,1,0,0,"Monterey",228,49,"1","6",261,"4",2,66,40,1,277,2161
"119","75440_2015-16",15,13,2057,54,38,1037,1140,0,0,21,0,1,10,12,1637,6388,24,0,0,89,3,4,58,38,"0","0","0",0,0,0,0,"Monterey",229,75,"1","4",296,"3",0,96,22,0,304,2177
"120","75580_2013-14",16,13,350,556,25,432,528,0,1,5,4,0,5,5,1948,4897,37,2,0,19,38,0,33,26,"0","0","1",0,1,0,0,"Madera",135,45,"9","19",72,"75",5,59,10,1,180,960
"121","75580_2015-16",20,15,329,543,26,428,505,0,1,4,1,0,3,3,2181,4968,36,1,1,16,33,0,34,17,"0","0","1",2,3,1,1,"Madera",161,45,"3","7",94,"90",12,51,6,4,206,933
"122","75580_2016-17",22,16,357,502,31,430,498,0,1,4,0,0,2,3,2094,5040,37,0,0,18,36,0,29,25,"0","0","0",0,0,0,0,"Madera",153,47,"1","11",111,"72",5,54,5,0,200,928
"123","76760_2015-16",356,133,287,387,333,737,759,3,1,2,2,2,7,3,3116,3751,9,1,1,2,4,4,5,7,"1","0","0",0,1,0,0,"San Joaquin",149,38,"20","53",35,"64",15,12,10,1,187,1496
"124","76760_2016-17",492,141,322,402,398,879,876,0,0,0,1,0,0,1,2495,4334,15,29,10,14,14,28,49,46,"1","2","2",1,4,2,0,"San Joaquin",213,46,"41","58",56,"58",46,95,1,6,259,1755
"125","76950_2016-17",3,3,140,100,17,147,116,0,1,7,6,4,7,11,341,429,1,1,0,0,5,0,4,2,"*","*","0",0,0,0,0,"Santa Barbara",0,0,"*","*",0,"0",0,6,18,0,0,263
