"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","do_asian","do_black","do_hisp","do_white","do_other","do_female","do_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","ucCsu_total","do_total","exp_tot","sus_tot","enroll_tot"
"26","64980_2014-15",339,419,1711,2645,313,2615,2812,2,3,18,15,3,15,26,5682,10557,26,62,34,188,362,39,340,345,"0","2","0",1,3,1,1,"Los Angeles",214,62,"6","47",93,"114",16,685,41,4,276,5427
"27","64980_2015-16",326,417,1730,2593,414,2625,2855,3,8,32,11,4,26,32,5268,9531,26,50,44,158,327,46,334,291,"0","0","1",2,3,0,0,"Los Angeles",224,44,"8","54",90,"92",24,625,58,3,268,5480
"28","64980_2016-17",319,370,1664,2526,447,2604,2722,2,5,12,8,5,16,16,5699,10264,13,44,36,166,280,61,310,277,"0","0","1",0,1,0,0,"Los Angeles",221,70,"5","35",138,"96",17,587,32,1,291,5326
"29","65060_2013-14",3518,644,3359,3348,1594,6144,6319,9,5,12,14,5,20,25,8583,23455,72,423,34,168,330,143,614,484,"4","1","2",9,15,4,3,"Los Angeles",636,180,"98","110",265,"246",97,1098,45,19,816,12463
"30","65060_2014-15",3456,560,3406,3107,1703,6068,6164,3,1,13,6,4,13,14,9061,19762,86,454,45,204,268,164,655,480,"1","1","6",7,15,1,1,"Los Angeles",489,160,"88","76",237,"188",60,1135,27,16,649,12232
"31","65060_2015-16",3382,533,3475,2977,1762,5988,6141,11,5,21,16,2,13,42,8458,21420,105,444,36,215,318,161,641,533,"5","3","6",8,25,0,3,"Los Angeles",617,134,"82","107",302,"196",64,1174,55,25,751,12129
"32","65060_2016-17",3282,525,3580,2797,1795,5943,6036,7,2,14,2,2,14,13,8548,19460,80,426,45,239,266,219,703,492,"1","1","5",12,19,2,2,"Los Angeles",502,109,"58","67",249,"158",79,1195,27,21,611,11979
"33","66290_2014-15",6,7,352,325,9,353,346,0,0,1,1,1,1,2,1525,3178,2,1,1,28,31,2,44,19,"0","*","0",0,0,0,0,"Napa",64,14,"0","*",55,"23",0,63,3,0,78,699
"34","66290_2016-17",5,4,307,321,11,330,318,0,0,5,1,0,3,3,2298,2107,1,0,0,17,30,1,30,18,"0","*","0",0,0,0,0,"Napa",20,5,"0","*",14,"9",0,48,6,0,25,648
"35","66530_2014-15",206,19,376,1268,171,992,1048,0,0,0,0,0,0,0,2104,6024,11,12,2,22,62,8,56,50,"0","0","1",1,2,0,0,"Orange",242,37,"8","5",73,"174",19,106,0,2,279,2040
