"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"962","62158_2012-13",94,13,847,115,3,528,544
"963","62158_2013-14",106,15,865,116,4,529,577
"964","62158_2014-15",106,14,895,122,5,566,576
"965","62158_2015-16",109,12,941,120,9,590,601
"966","62158_2016-17",112,17,963,115,7,594,620
"967","62166_2011-12",4492,3472,19686,4514,658,16153,16669
"968","62166_2012-13",4166,3215,19741,4129,716,15813,16154
"969","62166_2013-14",3960,3004,19734,3971,728,15474,15923
"970","62166_2014-15",3690,3025,19874,3598,760,15220,15727
"971","62166_2015-16",3552,2883,20129,3382,829,15110,15665
"972","62166_2016-17",3427,2764,20336,3241,867,15075,15560
"973","62240_2011-12",16,4,284,176,25,266,239
"974","62240_2012-13",14,6,321,179,22,277,265
"975","62240_2013-14",17,2,314,165,15,246,267
"976","62240_2014-15",16,5,288,162,12,251,232
"977","62240_2015-16",14,2,283,158,12,241,228
"978","62240_2016-17",11,1,304,167,18,231,270
"979","62257_2011-12",41,1,651,414,47,566,588
"980","62257_2012-13",38,2,668,391,95,602,592
"981","62257_2013-14",37,5,702,411,46,610,591
"982","62257_2014-15",39,6,725,410,42,612,610
"983","62257_2015-16",38,9,703,394,42,613,573
"984","62257_2016-17",35,7,703,383,32,600,560
"985","62265_2011-12",55,23,3737,576,102,2253,2240
"986","62265_2012-13",54,22,3730,552,95,2223,2230
"987","62265_2013-14",63,21,3678,458,99,2121,2198
"988","62265_2014-15",61,10,3680,445,88,2091,2193
"989","62265_2015-16",62,9,3730,427,78,2107,2199
"990","62265_2016-17",56,9,3811,405,95,2117,2259
"991","62281_2013-14",1,4,247,43,5,140,160
"992","62281_2014-15",1,5,230,42,13,139,152
"993","62281_2015-16",0,4,243,39,7,144,149
"994","62281_2016-17",0,4,240,31,12,140,147
"995","62323_2014-15",2,1,39,3,0,18,27
"996","62323_2015-16",1,1,29,0,0,13,18
"997","62331_2012-13",19,15,100,118,18,142,128
"998","62331_2013-14",14,21,123,107,12,142,135
"999","62331_2014-15",12,17,124,118,30,140,161
"1000","62331_2015-16",16,8,130,84,27,122,143
"1001","62331_2016-17",16,15,122,77,18,149,99
"1002","62356_2011-12",6,1,55,15,1,36,42
"1003","62356_2014-15",2,0,68,7,0,37,40
"1004","62356_2015-16",3,1,68,12,0,36,48
"1005","62356_2016-17",5,0,62,13,0,40,40
"1006","62364_2011-12",9,0,1307,9,0,641,684
"1007","62364_2012-13",8,0,1289,6,0,625,678
"1008","62364_2013-14",8,0,1318,7,2,629,706
"1009","62364_2014-15",9,0,1382,7,4,665,737
"1010","62364_2015-16",8,0,1391,8,3,682,728
"1011","62364_2016-17",6,0,1446,9,4,720,745
"1012","62380_2011-12",4,11,174,31,4,113,111
"1013","62380_2012-13",13,15,229,33,7,158,139
"1014","62380_2013-14",16,36,385,51,12,285,215
"1015","62380_2014-15",17,43,492,74,14,370,270
"1016","62380_2015-16",16,54,489,76,17,365,287
"1017","62380_2016-17",17,43,357,36,19,247,225
"1018","62414_2011-12",484,74,3423,772,88,2429,2412
"1019","62414_2012-13",480,70,3435,746,91,2479,2343
"1020","62414_2013-14",510,66,3483,682,110,2451,2400
"1021","62414_2014-15",525,80,3429,686,121,2455,2386
"1022","62414_2015-16",559,81,3530,661,138,2525,2444
"1023","62414_2016-17",559,74,3621,669,142,2537,2528
"1024","62430_2011-12",148,20,2413,221,34,1407,1429
"1025","62430_2012-13",130,23,2426,208,31,1422,1396
"1026","62430_2013-14",150,19,2487,183,33,1457,1415
"1027","62430_2014-15",144,15,2526,177,34,1449,1447
"1028","62430_2015-16",150,9,2605,165,29,1454,1504
"1029","62430_2016-17",139,8,2623,149,23,1435,1507
"1030","62513_2011-12",2,1,78,15,0,51,45
"1031","62513_2015-16",0,0,83,6,3,51,41
"1032","62513_2016-17",0,2,70,9,1,41,41
"1033","62539_2011-12",16,19,339,56,8,232,206
"1034","62539_2012-13",10,19,297,60,6,218,174
"1035","62539_2013-14",10,9,269,40,5,195,138
"1036","62539_2014-15",12,9,287,42,6,195,161
"1037","62539_2015-16",13,7,250,39,11,182,138
"1038","62539_2016-17",8,10,258,32,11,173,146
"1039","62547_2011-12",12,30,269,110,12,250,183
"1040","62547_2012-13",13,22,280,92,11,220,198
"1041","62547_2013-14",20,29,432,132,23,333,303
"1042","62547_2014-15",20,33,420,155,28,345,311
"1043","62547_2015-16",18,37,425,177,24,346,335
"1044","62547_2016-17",17,51,476,210,63,426,391
"1045","62661_2011-12",39,10,312,338,28,333,394
"1046","62661_2012-13",39,10,325,329,22,339,386
"1047","62661_2013-14",39,6,310,308,28,318,373
"1048","62661_2014-15",36,11,319,304,26,324,372
"1049","62661_2015-16",33,9,341,285,30,326,372
"1050","62661_2016-17",30,3,330,295,34,340,352
"1051","62679_2011-12",6,5,21,144,40,103,113
"1052","62679_2012-13",4,2,15,135,33,89,100
"1053","62679_2013-14",7,2,17,152,20,102,96
"1054","62679_2014-15",7,3,23,161,30,117,107
"1055","62679_2015-16",6,2,28,158,33,116,111
"1056","62679_2016-17",5,3,28,143,27,104,102
"1057","62687_2011-12",36,31,163,1080,340,801,849
"1058","62687_2012-13",26,19,144,1004,458,818,833
"1059","62687_2013-14",27,16,139,953,546,809,872
"1060","62687_2014-15",29,12,153,1224,255,806,867
"1061","62687_2015-16",23,18,170,1226,288,866,859
"1062","62687_2016-17",33,13,178,1157,296,841,836
"1063","62703_2011-12",0,0,0,9,7,8,8
"1064","62703_2012-13",1,1,1,14,7,9,15
"1065","62745_2011-12",0,0,0,0,0,0,0
"1066","62745_2012-13",0,0,0,0,0,0,0
"1067","62745_2013-14",0,0,0,0,0,0,0
"1068","62745_2014-15",0,0,0,0,0,0,0
"1069","62745_2015-16",0,0,0,0,0,0,0
"1070","62745_2016-17",0,0,0,0,0,0,0
"1071","62794_2011-12",0,2,0,18,5,11,14
"1072","62794_2012-13",0,0,1,20,5,11,15
"1073","62794_2013-14",1,1,1,20,5,15,13
"1074","62794_2014-15",2,1,3,13,5,13,11
"1075","62794_2015-16",1,0,3,21,2,8,19
"1076","62794_2016-17",2,1,2,25,2,15,17
"1077","62802_2011-12",2,4,64,65,14,77,72
"1078","62810_2011-12",14,10,189,842,95,556,594
"1079","62810_2012-13",18,5,202,761,89,540,535
"1080","62810_2013-14",17,7,240,723,110,551,546
"1081","62810_2014-15",16,5,250,678,117,570,496
"1082","62810_2015-16",17,4,268,697,148,593,541
"1083","62810_2016-17",14,4,272,664,151,562,543
"1084","62828_2016-17",1,0,3,45,1,22,28
"1085","62836_2014-15",0,0,0,0,0,0,0
"1086","62893_2011-12",10,0,11,75,6,53,49
"1087","62893_2012-13",6,0,10,70,12,51,47
"1088","62893_2013-14",7,0,8,65,14,48,46
"1089","62893_2014-15",4,0,10,64,13,51,40
"1090","62893_2015-16",2,0,14,70,12,52,46
"1091","62893_2016-17",3,2,15,70,14,53,51
"1092","62901_2011-12",2,0,18,42,387,186,263
"1093","62901_2012-13",2,1,16,42,365,177,249
"1094","62901_2013-14",2,1,16,44,382,196,249
"1095","62901_2014-15",2,2,15,44,388,197,254
"1096","62901_2015-16",1,2,20,41,387,204,247
"1097","62901_2016-17",0,2,21,35,361,201,218
"1098","62927_2011-12",1,1,26,90,29,71,76
"1099","62927_2012-13",1,4,30,94,36,71,94
"1100","62927_2015-16",0,0,26,54,26,46,60
"1101","62927_2016-17",0,0,19,47,20,44,42
"1102","62950_2011-12",1,2,24,176,56,127,132
"1103","62950_2012-13",2,3,26,167,43,122,119
"1104","62950_2013-14",4,4,29,168,55,138,122
"1105","62950_2014-15",2,4,27,164,49,126,120
"1106","62950_2015-16",4,4,29,156,46,119,120
"1107","62950_2016-17",4,1,35,155,52,124,123
"1108","62976_2011-12",3,1,16,102,11,66,67
"1109","62976_2012-13",4,1,19,97,11,66,66
"1110","62976_2013-14",1,0,30,100,13,77,67
"1111","62976_2014-15",0,1,32,77,14,64,60
"1112","62976_2015-16",0,2,23,60,16,49,52
"1113","62976_2016-17",1,0,24,69,12,46,60
"1114","63016_2011-12",1,3,22,120,18,87,77
"1115","63024_2011-12",1,0,12,38,8,30,29
"1116","63024_2012-13",1,0,15,43,6,31,34
"1117","63024_2015-16",1,1,6,40,5,17,36
"1118","63032_2011-12",3,2,17,138,29,101,88
"1119","63032_2012-13",3,3,27,159,37,127,102
"1120","63032_2013-14",9,5,40,166,33,161,92
"1121","63032_2014-15",5,6,40,165,41,145,112
"1122","63032_2015-16",7,4,45,192,46,171,123
"1123","63032_2016-17",6,3,40,196,50,163,132
"1124","63040_2011-12",6,4,34,272,33,152,197
"1125","63040_2012-13",6,4,37,224,29,130,170
"1126","63040_2013-14",4,7,40,233,31,138,177
"1127","63040_2014-15",3,5,46,230,32,140,176
"1128","63040_2015-16",5,5,48,243,26,145,182
"1129","63040_2016-17",4,5,49,238,22,150,168
"1130","63073_2011-12",4,6,750,55,5,362,458
"1131","63073_2012-13",5,5,797,45,5,404,453
"1132","63073_2013-14",3,10,811,49,5,433,445
"1133","63073_2014-15",1,11,762,37,7,410,408
"1134","63073_2015-16",3,6,733,39,4,406,379
"1135","63073_2016-17",2,12,798,45,2,455,404
"1136","63081_2011-12",12,25,1554,201,16,914,894
"1137","63081_2012-13",13,16,1561,221,23,931,903
"1138","63081_2013-14",14,12,1643,190,18,915,962
"1139","63081_2014-15",12,12,1661,179,14,923,955
"1140","63081_2015-16",9,20,1677,155,24,914,971
"1141","63081_2016-17",7,21,1650,152,16,911,935
"1142","63099_2011-12",21,1,4588,18,4,2247,2385
"1143","63099_2012-13",23,0,4530,20,4,2205,2372
"1144","63099_2013-14",20,1,4525,20,6,2195,2377
"1145","63099_2014-15",13,0,4596,18,4,2244,2387
"1146","63099_2015-16",12,0,4639,17,3,2252,2419
"1147","63099_2016-17",13,3,4638,15,2,2311,2360
"1148","63107_2011-12",3,16,455,42,12,246,282
"1149","63107_2012-13",3,18,482,39,8,259,291
"1150","63107_2013-14",3,15,462,46,8,253,281
"1151","63107_2014-15",2,14,465,58,8,263,284
"1152","63107_2015-16",1,15,469,54,5,256,288
"1153","63107_2016-17",0,13,487,50,2,265,287
"1154","63115_2011-12",64,69,3645,228,50,1970,2086
"1155","63115_2012-13",55,53,3733,231,32,1979,2125
"1156","63115_2013-14",57,50,3728,194,37,1952,2114
"1157","63115_2014-15",55,35,3806,191,19,1979,2127
"1158","63115_2015-16",51,42,3822,187,18,2020,2100
"1159","63115_2016-17",40,37,3871,159,12,2028,2091
"1160","63123_2011-12",14,15,1127,63,14,598,635
"1161","63123_2012-13",12,12,1135,42,13,608,606
"1162","63123_2013-14",10,19,1180,39,9,634,623
"1163","63123_2014-15",6,17,1234,49,10,655,661
"1164","63123_2015-16",4,16,1273,61,10,656,708
"1165","63123_2016-17",6,14,1203,49,11,610,673
"1166","63149_2011-12",0,4,707,96,5,368,444
"1167","63149_2012-13",0,3,694,95,11,386,417
"1168","63149_2013-14",0,1,675,100,13,380,409
"1169","63149_2014-15",2,2,695,100,15,404,410
"1170","63149_2015-16",1,2,677,102,17,398,401
"1171","63149_2016-17",1,1,705,96,16,406,413
"1172","63164_2011-12",24,40,1295,335,16,835,875
"1173","63164_2012-13",24,39,1327,305,23,812,906
"1174","63164_2013-14",25,36,1364,298,23,831,915
"1175","63164_2014-15",23,34,1401,297,30,850,935
"1176","63164_2015-16",24,28,1509,301,34,895,1001
"1177","63164_2016-17",17,25,1552,294,41,910,1019
"1178","63180_2011-12",10,2,208,46,1,133,134
"1179","63180_2012-13",12,1,222,42,0,138,139
"1180","63180_2013-14",11,1,252,39,0,141,162
"1181","63180_2014-15",9,1,263,52,3,150,178
"1182","63180_2015-16",5,0,251,51,3,141,169
"1183","63180_2016-17",8,0,257,41,1,141,166
"1184","63198_2012-13",1,2,111,5,0,59,60
"1185","63206_2013-14",0,0,8,7,4,6,13
"1186","63206_2014-15",0,0,12,10,2,13,11
"1187","63206_2015-16",0,0,8,4,1,9,4
"1188","63214_2011-12",2,1,140,11,152,131,175
"1189","63214_2012-13",1,0,154,8,149,136,176
"1190","63214_2013-14",1,1,158,9,145,146,168
"1191","63214_2014-15",1,1,156,8,146,151,161
"1192","63214_2015-16",1,1,156,10,141,156,153
"1193","63222_2011-12",0,0,78,7,2,47,40
"1194","63222_2012-13",1,0,62,7,1,32,39
"1195","63230_2014-15",1,1,54,4,0,34,26
"1196","63289_2011-12",6,3,77,58,28,86,86
"1197","63289_2012-13",6,2,78,62,26,78,96
"1198","63289_2013-14",4,2,72,51,30,72,87
"1199","63289_2014-15",3,2,72,60,31,74,94
"1200","63289_2015-16",4,1,68,54,31,62,96
"1201","63289_2016-17",3,1,72,37,28,56,85
"1202","63305_2011-12",0,0,4,26,6,13,23
"1203","63305_2012-13",1,0,9,27,1,14,24
"1204","63305_2013-14",1,0,11,17,0,12,17
"1205","63305_2015-16",0,0,4,14,0,11,7
"1206","63313_2011-12",2,4,672,37,1,343,373
"1207","63313_2012-13",1,4,684,39,1,342,387
"1208","63313_2013-14",3,2,714,20,1,343,397
"1209","63313_2014-15",3,0,715,14,3,356,379
"1210","63313_2015-16",0,3,643,14,3,318,345
"1211","63313_2016-17",0,4,550,9,2,264,301
"1212","63321_2011-12",36,497,4262,568,129,2624,2868
"1213","63321_2012-13",33,498,4353,543,138,2664,2901
"1214","63321_2013-14",39,485,4469,533,146,2780,2892
"1215","63321_2014-15",45,463,4640,538,158,2900,2944
"1216","63321_2015-16",58,469,4742,541,145,2979,2976
"1217","63321_2016-17",54,460,4883,537,139,2991,3082
"1218","63339_2011-12",3,11,107,198,15,163,171
"1219","63339_2012-13",2,8,112,203,12,151,186
"1220","63339_2013-14",1,6,115,173,14,151,158
"1221","63339_2014-15",0,8,119,185,13,156,169
"1222","63339_2015-16",1,9,134,168,21,161,172
"1223","63339_2016-17",1,11,149,185,16,187,175
"1224","63362_2011-12",260,431,1950,1088,143,1947,1925
"1225","63362_2012-13",285,429,2019,1051,144,1974,1954
"1226","63362_2013-14",307,418,2107,979,143,1913,2041
"1227","63362_2014-15",279,416,2075,982,147,1854,2045
"1228","63362_2015-16",327,409,2097,854,166,1875,1978
"1229","63362_2016-17",356,397,2240,817,174,1947,2037
"1230","63370_2013-14",0,2,64,6,0,26,46
"1231","63370_2014-15",0,1,62,7,0,30,40
"1232","63370_2015-16",1,0,67,7,0,39,36
"1233","63370_2016-17",1,0,74,10,0,43,42
"1234","63404_2011-12",13,8,1225,16,222,686,798
"1235","63404_2012-13",16,5,1287,24,216,736,812
"1236","63404_2013-14",12,7,1419,15,197,784,866
"1237","63404_2014-15",13,6,1423,12,203,802,855
"1238","63404_2015-16",11,8,1400,24,212,801,854
"1239","63404_2016-17",13,3,1344,28,209,736,861
"1240","63412_2011-12",40,35,3704,88,474,2181,2160
"1241","63412_2012-13",40,37,3671,79,496,2135,2188
"1242","63412_2013-14",41,29,3597,84,487,2088,2150
"1243","63412_2014-15",31,29,3624,73,477,2051,2183
"1244","63412_2015-16",34,19,3621,64,467,2052,2153
"1245","63412_2016-17",44,23,3628,57,472,2052,2172
"1246","63438_2011-12",1,5,205,46,4,122,139
"1247","63438_2012-13",1,6,208,38,7,132,128
"1248","63438_2013-14",1,10,190,39,5,114,131
"1249","63438_2014-15",1,5,198,28,2,110,124
"1250","63438_2015-16",2,3,209,31,2,132,115
"1251","63438_2016-17",1,3,203,27,4,119,119
"1252","63461_2011-12",13,11,435,36,12,232,275
"1253","63461_2012-13",12,10,474,26,18,262,278
"1254","63461_2013-14",9,13,454,19,21,256,260
"1255","63461_2014-15",10,18,432,28,16,252,252
"1256","63461_2015-16",8,20,453,33,7,252,269
"1257","63461_2016-17",12,20,527,32,9,287,313
"1258","63479_2011-12",19,29,255,384,71,358,400
"1259","63479_2012-13",14,34,252,385,58,363,380
"1260","63479_2013-14",17,25,261,351,55,338,371
"1261","63479_2014-15",18,26,276,348,41,341,368
"1262","63479_2015-16",19,16,274,310,53,354,318
"1263","63479_2016-17",18,28,270,314,54,365,319
"1264","63503_2011-12",40,159,1510,177,30,985,931
"1265","63503_2012-13",32,157,1478,158,39,914,950
"1266","63503_2013-14",32,160,1491,148,45,947,929
"1267","63503_2014-15",33,167,1542,134,56,963,969
"1268","63503_2015-16",39,140,1572,124,51,961,965
"1269","63503_2016-17",43,137,1628,127,44,961,1018
"1270","63529_2011-12",936,2535,22767,9834,1433,18660,18845
"1271","63529_2012-13",930,2347,23004,9379,1410,18513,18557
"1272","63529_2013-14",991,2329,23313,9190,1277,18332,18768
"1273","63529_2014-15",971,2230,23364,8922,1831,18386,18932
"1274","63529_2015-16",1020,2265,24408,8700,1677,18661,19409
"1275","63529_2016-17",1000,2279,25271,8464,1691,18931,19774
"1276","63545_2011-12",2,3,15,150,7,87,90
"1277","63545_2012-13",1,1,16,164,4,100,86
"1278","63545_2013-14",2,4,24,158,5,105,88
"1279","63545_2014-15",1,2,26,150,9,86,102
"1280","63545_2015-16",1,2,12,149,4,74,94
"1281","63545_2016-17",2,2,22,152,7,97,88
"1282","63552_2011-12",23,23,145,99,17,167,140
"1283","63552_2012-13",17,18,154,88,16,150,143
"1284","63552_2013-14",13,15,157,88,12,132,153
"1285","63552_2014-15",10,19,153,72,9,126,137
"1286","63552_2015-16",10,18,165,80,10,146,137
"1287","63552_2016-17",16,27,185,84,14,173,153
"1288","63560_2011-12",3,2,518,6,0,251,278
"1289","63560_2013-14",1,0,548,7,2,263,295
"1290","63560_2014-15",0,1,573,7,1,286,296
"1291","63560_2015-16",0,2,572,15,1,291,299
"1292","63560_2016-17",1,2,584,7,2,293,303
"1293","63578_2011-12",1,2,600,34,1,310,328
"1294","63578_2012-13",4,0,644,28,1,337,340
"1295","63578_2013-14",3,2,666,28,4,345,358
"1296","63578_2014-15",6,3,711,29,2,381,370
"1297","63578_2015-16",6,4,758,25,1,414,380
"1298","63578_2016-17",7,5,736,28,1,375,402
"1299","63594_2014-15",2,0,99,0,0,48,53
"1300","63594_2016-17",0,1,115,0,0,58,58
"1301","63610_2012-13",2,0,30,34,0,33,33
"1302","63628_2011-12",6,17,92,260,41,235,181
"1303","63628_2012-13",22,102,290,684,84,622,560
"1304","63628_2013-14",29,112,344,608,46,637,502
"1305","63628_2014-15",34,118,347,607,47,645,508
"1306","63628_2015-16",20,78,323,504,98,558,465
"1307","63628_2016-17",31,151,560,837,192,944,827
"1308","63677_2011-12",9,256,453,330,103,554,597
"1309","63677_2012-13",5,285,458,312,66,549,577
"1310","63677_2013-14",4,297,457,304,78,543,597
"1311","63677_2014-15",3,279,458,278,80,531,567
"1312","63677_2015-16",5,287,442,250,62,497,549
"1313","63677_2016-17",4,289,458,220,49,493,527
"1314","63685_2011-12",30,130,158,491,91,426,474
"1315","63685_2012-13",19,79,185,442,156,434,447
"1316","63685_2013-14",20,74,199,430,156,437,442
"1317","63685_2014-15",19,57,203,434,140,427,426
"1318","63685_2015-16",15,51,220,397,139,409,413
"1319","63685_2016-17",10,59,214,394,140,399,418
"1320","63693_2011-12",32,12,245,456,104,430,419
"1321","63693_2012-13",26,7,244,451,112,424,416
"1322","63693_2013-14",29,9,257,483,101,442,437
"1323","63693_2014-15",22,9,279,520,109,435,504
"1324","63693_2015-16",16,10,290,511,107,432,502
"1325","63693_2016-17",22,13,290,504,97,459,467
"1326","63719_2011-12",2,1,36,5,2,18,28
"1327","63719_2012-13",1,0,37,6,0,21,23
"1328","63719_2013-14",0,1,34,2,0,22,15
"1329","63719_2014-15",1,2,42,3,0,24,24
"1330","63720_2011-12",25,5,34,142,8,116,98
"1331","63720_2012-13",22,7,22,173,10,120,114
"1332","63750_2011-12",39,53,310,878,52,647,685
"1333","63750_2012-13",35,47,361,863,65,683,688
"1334","63750_2013-14",46,42,368,807,64,652,675
"1335","63750_2014-15",49,45,395,736,68,615,678
"1336","63750_2015-16",39,40,397,730,88,624,670
"1337","63750_2016-17",48,45,415,708,95,637,674
"1338","63768_2011-12",12,29,162,114,47,184,180
"1339","63768_2012-13",10,24,151,119,32,180,156
"1340","63768_2013-14",11,46,164,122,28,217,154
"1341","63776_2011-12",5,133,703,478,86,687,718
"1342","63776_2012-13",8,126,692,417,122,637,728
"1343","63776_2013-14",9,164,685,402,92,645,707
"1344","63776_2014-15",13,155,676,387,80,636,675
"1345","63776_2015-16",13,144,714,405,77,687,666
"1346","63776_2016-17",8,151,763,452,64,734,704
"1347","63792_2011-12",3,4,124,467,23,299,322
"1348","63792_2012-13",3,7,121,461,22,303,311
"1349","63792_2013-14",1,4,124,454,20,299,304
"1350","63792_2014-15",1,5,144,463,17,304,326
"1351","63792_2015-16",1,6,152,441,17,305,312
"1352","63792_2016-17",4,9,192,402,23,325,305
"1353","63800_2011-12",2,5,199,245,25,232,244
"1354","63800_2012-13",2,4,193,229,17,218,227
"1355","63800_2013-14",3,3,184,207,19,192,224
"1356","63800_2014-15",4,2,201,187,13,206,201
"1357","63800_2015-16",3,2,200,190,11,212,194
"1358","63800_2016-17",1,4,227,209,17,228,230
"1359","63818_2011-12",4,7,402,577,52,549,493
"1360","63818_2012-13",4,10,413,549,56,524,508
"1361","63818_2013-14",5,9,427,553,51,541,504
"1362","63818_2014-15",6,10,423,563,57,518,541
"1363","63818_2015-16",4,10,425,553,56,497,551
"1364","63818_2016-17",5,8,454,520,47,505,529
"1365","63826_2011-12",29,40,585,1479,52,995,1190
"1366","63826_2012-13",27,31,566,1417,56,941,1156
"1367","63826_2013-14",27,34,584,1335,55,946,1089
"1368","63826_2014-15",25,37,581,1320,38,940,1061
"1369","63826_2015-16",26,38,598,1289,39,933,1057
"1370","63826_2016-17",30,40,622,1267,41,934,1066
"1371","63842_2011-12",1,16,617,28,4,326,340
"1372","63842_2012-13",2,12,665,29,4,348,364
"1373","63842_2013-14",1,15,712,31,2,368,393
"1374","63842_2014-15",0,14,718,28,4,365,399
"1375","63842_2015-16",3,20,694,26,10,343,410
"1376","63842_2016-17",4,20,701,20,2,369,378
"1377","63859_2011-12",6,45,1610,102,10,825,948
"1378","63859_2012-13",3,40,1618,90,9,852,908
"1379","63859_2013-14",1,41,1586,96,6,854,876
"1380","63859_2014-15",5,40,1593,96,13,863,884
"1381","63859_2015-16",1,34,1689,95,7,904,922
"1382","63859_2016-17",4,29,1712,102,8,898,957
"1383","63875_2011-12",17,85,528,406,73,542,567
"1384","63875_2012-13",30,55,531,397,54,561,506
"1385","63875_2013-14",20,42,439,338,40,449,430
"1386","63875_2014-15",6,41,429,333,35,438,406
"1387","63875_2015-16",9,21,350,257,54,366,325
"1388","63875_2016-17",9,28,339,219,44,374,265
"1389","63883_2011-12",7,24,120,104,91,162,184
"1390","63883_2012-13",6,23,105,105,92,156,175
"1391","63883_2013-14",9,18,120,100,72,144,175
"1392","63883_2014-15",10,21,108,111,66,155,161
"1393","63883_2015-16",7,24,122,97,64,161,153
"1394","63883_2016-17",4,24,125,95,59,161,146
"1395","63891_2011-12",5,62,1262,163,44,760,776
"1396","63891_2012-13",3,56,1211,148,25,706,737
"1397","63891_2013-14",4,54,1223,130,15,703,723
"1398","63891_2014-15",3,45,1211,106,12,660,717
"1399","63891_2015-16",3,46,1216,105,7,673,704
"1400","63891_2016-17",3,56,1228,112,5,674,730
"1401","63917_2011-12",10,89,779,244,20,600,542
"1402","63917_2012-13",11,91,783,240,22,588,559
"1403","63917_2013-14",13,96,803,208,24,569,575
"1404","63917_2014-15",12,84,835,230,29,570,620
"1405","63917_2015-16",14,63,850,238,28,563,630
"1406","63917_2016-17",13,57,890,200,39,580,619
"1407","63925_2011-12",81,224,2158,1213,127,1941,1862
"1408","63925_2012-13",87,230,2223,1218,134,1962,1930
"1409","63925_2013-14",68,234,2242,1162,121,1934,1893
"1410","63925_2014-15",64,224,2352,1095,110,1904,1941
"1411","63925_2015-16",61,201,2364,1021,125,1904,1868
"1412","63925_2016-17",55,194,2435,996,119,1858,1941
"1413","63933_2012-13",0,0,25,32,4,33,28
"1414","63941_2011-12",3,4,47,85,3,73,69
"1415","63941_2012-13",5,5,40,83,1,67,67
"1416","63941_2013-14",5,2,46,92,0,75,70
"1417","63941_2014-15",3,1,56,102,1,82,81
"1418","63941_2015-16",2,1,48,114,2,79,88
"1419","63941_2016-17",1,1,47,119,1,77,92
"1420","63958_2011-12",1,3,53,55,1,56,57
"1421","63958_2012-13",0,1,60,53,2,53,63
"1422","63958_2013-14",0,0,46,36,2,41,43
"1423","63958_2014-15",2,0,49,42,3,49,47
"1424","63958_2015-16",2,7,229,71,5,179,135
"1425","63958_2016-17",2,12,391,113,21,291,248
"1426","63966_2011-12",3,5,63,8,0,43,36
"1427","63966_2012-13",2,5,51,7,1,39,27
"1428","63966_2013-14",1,1,57,4,2,33,32
"1429","63966_2014-15",2,3,53,7,0,34,31
"1430","63966_2015-16",2,6,53,4,1,30,36
"1431","63966_2016-17",7,4,63,1,2,30,47
"1432","63974_2011-12",6,57,439,217,72,390,401
"1433","63974_2012-13",7,52,428,192,64,377,366
"1434","63974_2013-14",6,47,421,174,67,353,362
"1435","63974_2014-15",8,41,427,162,67,351,354
"1436","63974_2015-16",9,33,459,151,52,333,371
"1437","63974_2016-17",5,42,481,147,64,339,400
"1438","63982_2011-12",30,160,1059,781,224,1096,1158
"1439","63982_2012-13",35,150,1120,745,232,1072,1210
"1440","63982_2013-14",35,151,1203,714,226,1145,1184
"1441","63982_2014-15",31,144,1229,698,238,1144,1196
"1442","63982_2015-16",36,135,1227,633,244,1129,1146
"1443","63982_2016-17",38,130,1208,573,235,1110,1074
"1444","63990_2011-12",18,14,151,203,28,196,218
"1445","63990_2012-13",16,16,154,187,26,185,214
"1446","63990_2013-14",19,20,159,163,26,187,200
"1447","63990_2014-15",17,16,156,151,24,192,172
"1448","63990_2015-16",13,18,143,149,23,175,171
"1449","63990_2016-17",18,22,144,157,21,174,188
"1450","64014_2011-12",7,9,292,496,51,419,436
"1451","64014_2012-13",7,11,289,496,54,419,438
"1452","64014_2013-14",7,11,302,452,47,408,411
"1453","64014_2014-15",6,7,309,420,57,400,399
"1454","64014_2015-16",10,9,327,392,63,410,391
"1455","64014_2016-17",6,10,340,387,69,402,410
"1456","64022_2011-12",9,63,380,808,144,683,721
"1457","64022_2012-13",11,58,391,744,160,655,709
"1458","64022_2013-14",7,61,417,695,154,624,710
"1459","64022_2014-15",9,47,457,661,156,633,697
"1460","64022_2015-16",7,47,533,651,147,667,718
"1461","64022_2016-17",5,52,577,647,145,686,740
"1462","64030_2011-12",6,12,174,472,111,344,431
"1463","64030_2012-13",8,7,171,445,94,329,396
"1464","64030_2013-14",8,8,176,407,89,327,361
"1465","64030_2014-15",9,8,181,403,89,342,348
"1466","64030_2015-16",8,7,175,396,101,336,351
"1467","64030_2016-17",9,12,191,361,102,319,356
"1468","64048_2011-12",0,0,8,34,6,18,30
"1469","64048_2012-13",1,0,10,33,7,26,25
"1470","64048_2013-14",1,3,11,32,9,27,29
"1471","64048_2014-15",0,4,15,28,8,28,27
"1472","64048_2015-16",1,3,14,31,6,24,31
"1473","64048_2016-17",1,0,10,34,5,25,25
"1474","64055_2011-12",6,7,164,583,50,394,416
"1475","64055_2012-13",5,5,155,572,43,384,396
"1476","64055_2013-14",4,5,151,541,46,364,383
"1477","64055_2014-15",3,6,168,562,53,394,398
"1478","64055_2015-16",5,6,179,567,59,419,397
"1479","64055_2016-17",6,2,184,599,60,436,415
"1480","64063_2011-12",0,1,19,57,20,51,46
"1481","64063_2012-13",0,3,23,59,19,56,48
"1482","64063_2013-14",1,1,24,68,25,49,70
"1483","64063_2014-15",3,1,29,62,23,45,73
"1484","64063_2015-16",2,1,29,49,20,49,52
"1485","64071_2011-12",10,2,90,214,47,158,205
"1486","64071_2013-14",3,1,83,176,47,150,160
